policy_id,cost_scenario_id,event_scope,month_n,mean_monthly_return,median_monthly_return,compound_return,positive_month_rate,worst_month_return,source_table_content_hash,posthoc_slice_only,parameter_selection_authorized,run_id,contract_version
B0_P4_RAW_RANK__D10__L000__STOP05,GROSS,event_posthoc,5,0.0190310302145,-0.00828717966853,0.0926366860221,0.4,-0.0221713179827,bef5ebe686656fea908d70711d20f9dbf938cbfb523fc57289d0278abce30c60,True,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,GROSS,non_event_posthoc,16,-0.00391438573617,-0.00309706088838,-0.0724672620159,0.5,-0.0816810388359,fd6be000898747327d6ca156713a6725ba9d6bebeaad66233cd1f92efbc50a1f,True,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,SLIP000,event_posthoc,5,0.0185939748584,-0.00892369357106,0.0901747047883,0.4,-0.0229579962675,76962996b5245ea5e8c6a302b6799f68b91b695084d5e7e2526c8eaa1fb59102,True,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,SLIP000,non_event_posthoc,16,-0.00460485751621,-0.00364504595159,-0.0829686091952,0.5,-0.0834607125019,d641c4a314077cf941cd0bcfd4f411708d6633d601bf0c7ac73f9f1cfcdbb2c6,True,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,SLIP005,event_posthoc,5,0.0181694758398,-0.00960154897069,0.0877887341786,0.4,-0.0239522827227,19270e290625e7452ac1010ff5e1b07d724e67d6d51ea77c391213a27b94c7c0,True,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,SLIP005,non_event_posthoc,16,-0.00529805010255,-0.00428598113779,-0.0933880593106,0.5,-0.0851836965495,78b15655f1e0d555c4c54fd3a3add0438040eab07e2d7edc991091064c74e494,True,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,SLIP010,event_posthoc,5,0.0177405452925,-0.0102849236835,0.0853808856196,0.4,-0.0249619835199,6338601d62099072a83de808bcb7d86c378d286ebaf74924f80ba388394c1589,True,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,SLIP010,non_event_posthoc,16,-0.00600030709454,-0.00493298602979,-0.103835254663,0.5,-0.0869472796831,ec485c18ae62ff0c809e7ab1f396ae2fc7878630c244d9c17a3fbba1dcc8874e,True,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,SLIP020,event_posthoc,5,0.0168689841867,-0.0116685029022,0.0804976520655,0.4,-0.0270290845221,185a93700d588453283d5248ea06e74de5c2dd899c45272c0cb06e7c9dba26a4,True,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,SLIP020,non_event_posthoc,16,-0.00743299472139,-0.00624562689088,-0.124814623752,0.5,-0.0906021215982,73ac382c6766a68a11c6133dde9fea2e2130e1810de651653e5414e85cba2309,True,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
