policy_id,cost_scenario_id,decision_date,concentration_scope,board_HHI,top1_board_weight,top3_board_weight,no_board_position_weight,classified_position_weight,classified_board_coverage_ratio,concentration_status,mean_stock_concentration_tilt_score,effective_holdings,source_table_content_hash,historical_PIT_sector_claim_allowed,market_trading_crowding_claim_allowed,run_id,contract_version
B0_P4_RAW_RANK__D10__L000__STOP05,GROSS,2024-07-31,realized_posttrade,0.0382224018553,0.0901382348586,0.246058078389,0,0.9970913,1,evaluable,0.695661858514,42.9994472471,1f69a6fbba7c0b04b217923d9c9f26ee04c77418be59636ed51031adcab62155,False,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,GROSS,2024-07-31,target,0.0382155875021,0.0901306475862,0.246046327134,0,1,1,evaluable,0.695617293117,43,5943cea165b5d34841d27455b54d1fb66e8c34cf9eae07eed502d2b734ce6a36,False,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,GROSS,2024-08-30,realized_posttrade,0.0414584776323,0.0883484019799,0.242789821052,0,0.972165718083,1,evaluable,0.744610966786,41.9997105424,5bbfce281777bec200964f9ec4ac6ad1921d74a3c26c39ecf31edb4a939dc17e,False,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,GROSS,2024-08-30,target,0.0410609877145,0.0879518159311,0.240461206376,0,1,1,evaluable,0.744576588702,43,a4d1452f488fe2bbf7a92b43d111743b424c86e153011fd6f8ad7f0059a97347,False,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,GROSS,2024-09-30,realized_posttrade,0.0422651275107,0.0912239456253,0.250785407424,0,0.74539481133,1,evaluable,0.717627757033,32.999582745,2f7059e430382893629da8ca6be6500419eb3b8768148a39fd4d18cb3fa4639f,False,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,GROSS,2024-09-30,target,0.0379635922163,0.0872955194386,0.240566211995,0,1,1,evaluable,0.711476821642,44,97b8c316c9273dd4477da19d0b4a9ca21c2fc27bf86f6e9269c1f9f719a5f5d7,False,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,GROSS,2024-10-31,realized_posttrade,0.0446964541544,0.0901847696067,0.249242590025,0,0.993060396192,1,evaluable,0.797172949131,43.9995923617,f43c39bbf14685d341ce450e7a626f403f86576fce9fee88df159ade14c70af9,False,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,GROSS,2024-10-31,target,0.0446948433838,0.0901952735451,0.249255635669,0,1,1,evaluable,0.797136082919,44,9669996a2a58ced03ded976839aacc3cd82edd567a7bb647e8291d8cd3b2c4d0,False,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,GROSS,2024-11-29,realized_posttrade,0.0329699813249,0.081636913888,0.219485928088,0,0.99088781639,1,evaluable,0.679147644669,43.9990278038,1dbe114934524b245e32320b298e687190c622813b13eea3f95202bd63fe2169,False,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,GROSS,2024-11-29,target,0.0329500044794,0.0816230605843,0.219411180159,0,1,1,evaluable,0.679107192502,44,a12141f27f9fe9ea80ec76c0f65416dda12f74a4f96118f0dda65a3e367f61eb,False,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
