policy_id,aggregation_scope,stop_trigger_n,stop_fill_n,stop_blocked_n,mean_trigger_to_fill_delay_sessions,mean_stop_overshoot,stopped_capital_weight,stop_exit_vs_hold_delta_cny,stop_avoided_loss_cny,stop_missed_rebound_cny,stop_attribution_missing_n,source_table_content_hash,ex_post_counterfactual_attribution_only,status,missing_reason,run_id,contract_version
B0_P4_RAW_RANK__D10__L050__STOP05,non_event_posthoc,365,365,0,0.00547945205479,0.00383262554264,0.493455196039,-2270846.97008,2484590.95771,4755437.92779,0,9269425cba86406cbf3ebda149ddc8d7002891eef08bed9683a1d178df93031b,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP10,all,256,256,0,0.0078125,0.00492883409071,0.270611804091,-2028348.07356,1570071.21263,3598419.28619,0,21fe07539e27fd7daf6651660f8f9781da7b2a3cd22e92dea1ee81c30bf1c6b2,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP10,event_posthoc,52,52,0,0,0.00180438500374,0.24090546,-459573.280875,366869.37632,826442.657195,0,d3b21bfa9964d0f31bd081dffe7065d84a7a617317c9cc160f781dd42033d89a,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP10,non_event_posthoc,204,204,0,0.00980392156863,0.00572526228935,0.27989503662,-1568774.79268,1203201.83631,2771976.62899,0,2af80b81d4499160b9ec30806c5b7254f18ab1861165146e4c00071110a117d5,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP15,all,145,145,0,0.00689655172414,0.00606976649295,0.159025344201,-1590908.45494,713017.397556,2303925.8525,0,fb2cebaa2778a35b9105ea408beafe28dd41f1e3f495570504828ab06f8d1164,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP15,event_posthoc,25,25,0,0,0.0015838097701,0.1190992,-317479.455296,154212.219267,471691.674564,0,bc390f948caf220d82490e434349cb88baec2eb5256f2c00949e1872dc08c30b,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP15,non_event_posthoc,120,120,0,0.00833333333333,0.00700434081021,0.171502264263,-1273428.99965,558805.178288,1832234.17793,0,f95541b2878be1784a93d5121c778b18c8a649535a3a349575de813fb1880faa,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP20,all,73,73,0,0.041095890411,0.0112476511077,0.0862156533842,-922275.839725,280703.726884,1202979.56661,0,a21d894bb552c0286098ce2602aaaad01892527b63d6961fd41a47b6efd7cdb1,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP20,event_posthoc,6,6,0,0,0.00945264385111,0.0309208,-42520.8306376,70893.56142,113414.392058,0,4147d037a8517118e860330c37e7b1e0a80dc064a98b3d4bc74d7f66de4184f7,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP20,non_event_posthoc,67,67,0,0.044776119403,0.0114083980263,0.103495295067,-879755.009088,209810.165464,1089565.17455,0,4b625e330bca98a3024cca5159fe6c431274aabf587e78c2f5af724d0c14c458,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOPNONE,all,0,0,0,,,0,,,,0,ea090c62574dd2e83719a929634b45e4062258d15fc352c9624756769af162de,True,not_applicable_no_stop,stop_threshold_none,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOPNONE,event_posthoc,0,0,0,,,0,,,,0,398f8b2f9244f151215f39814f668dcbe2e0d37c3a4b2c00073ddcd2adbe982b,True,not_applicable_no_stop,stop_threshold_none,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOPNONE,non_event_posthoc,0,0,0,,,0,,,,0,1e4576c1a1d8911fd8ca98f23854946ef2c79d30f1f08cf47c4a145dd311ba84,True,not_applicable_no_stop,stop_threshold_none,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L100__STOP05,all,468,468,0,0.0042735042735,0.00315078132527,0.484521077384,-3519117.35497,3363403.63131,6882520.98628,0,adeb9b3d026521e49f4f0a61081296cdf0ead8393aee9315d67290268aa215db,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L100__STOP05,event_posthoc,103,103,0,0,0.000740588499115,0.45506836,-1251889.7483,858062.598437,2109952.34674,0,7991b6a719c4caddcde1d3964a9e622d98cd527fb3dd823a4bff59094b01e02d,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
