policy_id,cost_scenario_id,mean_target_one_way_turnover,mean_attempted_one_way_turnover,mean_realized_one_way_turnover,total_commission_cny,total_stamp_tax_cny,total_transfer_fee_cny,total_slippage_cny,total_cost_return,maximum_shadow_cash_deficit_cny,shadow_self_financing,live_nav_break_even_slippage_bps,live_nav_break_even_status,liquidation_adjusted_break_even_slippage_bps,liquidation_adjusted_break_even_status,raw_qfq_mapping_warning_n,max_relative_ratio_spread,source_table_content_hash,historical_support_claim_allowed,deployment_authorized,run_id,contract_version
B0_P4_RAW_RANK__D10__L000__STOP05,GROSS,0.404208194906,0.678316163791,0.670094126271,0,0,0,0,0,0,True,0,not_positive_at_zero_slippage,0,not_positive_at_zero_slippage,19,0.00735269458928,9d4ba3ef2c32e52152a66b59c0e016fe8f390caa6196f7700655ec2969b40c45,False,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,SLIP000,0.404208194906,0.678316163791,0.670094126271,68042.9684925,66571.309985,2704.4340797,0,0.0141998768339,0,True,0,not_positive_at_zero_slippage,0,not_positive_at_zero_slippage,19,0.00735269458928,f77063be8f05a32be18f8741f4faf6540a8d2b2b8bcb221427677794a6450443,False,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,SLIP005,0.404208194906,0.678316163791,0.670094126271,68042.9684925,66571.309985,2704.4340797,135221.703985,0.0283962536736,0,True,0,not_positive_at_zero_slippage,0,not_positive_at_zero_slippage,19,0.00735269458928,7c66f98630a45384020f06e32be22649466c39e3602fbbad9c6dec9525b24fd6,False,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,SLIP010,0.404208194906,0.678316163791,0.670094126271,68042.9684925,66571.309985,2704.4340797,270443.40797,0.042785890249,101748.628282,False,0,not_positive_at_zero_slippage,0,not_positive_at_zero_slippage,19,0.00735269458928,a15aba37fd895ca8cbb6692bc0deb6e0dd42a5a87f457e713afe076812bc3c25,False,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,SLIP020,0.404208194906,0.678316163791,0.670094126271,68042.9684925,66571.309985,2704.4340797,540886.81594,0.0721667216353,328670.071415,False,0,not_positive_at_zero_slippage,0,not_positive_at_zero_slippage,19,0.00735269458928,f0ffa0eae9056afe46f44eface183296838df58e12146752aea2d69bd19957bb,False,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP05,SLIP040,0.404208194906,0.678316163791,0.670094126271,68042.9684925,66571.309985,2704.4340797,1081773.63188,0.133500516046,782512.957679,False,0,not_positive_at_zero_slippage,0,not_positive_at_zero_slippage,19,0.00735269458928,b3c9672a071e35c61edc16c945199bdf8cab07ab81ef461eadc8759caf95fdbc,False,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP10,GROSS,0.404208194906,0.574528060851,0.564574011595,0,0,0,0,0,0,True,57.2078183213,root_found,54.5863872649,root_found,13,0.00735269458928,5497b2bb185d5c027639db4b3710b55eb04788cfb4791bb0c422a013fe03ecc8,False,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP10,SLIP000,0.404208194906,0.574528060851,0.564574011595,58167.7513632,55480.3152264,2301.92044453,0,0.0118851849785,0,True,57.2078183213,root_found,54.5863872649,root_found,13,0.00735269458928,9ae2f548ba03115c431a989752517de3cb41e556455432dae8a7170b363169d7,False,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP10,SLIP005,0.404208194906,0.574528060851,0.564574011595,58167.7513632,55480.3152264,2301.92044453,115096.022226,0.0238467128509,0,True,57.2078183213,root_found,54.5863872649,root_found,13,0.00735269458928,e203cdb51493314f0ad7f5eea1cbf2e49c6323a33df30cb610edea40affa100a,False,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP10,SLIP010,0.404208194906,0.574528060851,0.564574011595,58167.7513632,55480.3152264,2301.92044453,230192.044453,0.0359444819162,92139.9160032,False,57.2078183213,root_found,54.5863872649,root_found,13,0.00735269458928,f5ca055dbdd985e314e52b92254a3e5b8acf770922576c7d823018238ba944e4,False,False,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
