split,pooling_level,pooling_key,kth_fresh_step_bucket,kth_fresh_offset_bucket,wait_return_bucket,fresh_step_count,seed_episode_count,unique_seed_episode_count,unique_instrument_count,unique_step_signal_date_count,seed_anchor_big_winner_denominator,seed_anchor_big_winner_count,seed_anchor_big_winner_rate,fresh_anchor_big_winner_denominator,fresh_anchor_big_winner_count,fresh_anchor_big_winner_rate,seed_path_denominator,seed_P_good,seed_P_bad,fresh_path_denominator,fresh_P_good,fresh_P_bad,wait_return_to_fresh_entry_p25,wait_return_to_fresh_entry_p50,wait_return_to_fresh_entry_p75,pct_wait_up_gt_5pct,pct_wait_up_gt_10pct,pct_wait_up_gt_20pct,sample_sufficiency_status,pooling_key_family_count,fresh_anchor_path_quality_clean_or_tradable_rate,fresh_anchor_early_failure_rate,split_denominator_share,split_stability_status
train,cumulative_family_set_after_step,momentum_rps|oscillator|price_trend|pullback_drawdown,1,t3_t5,up_0_5pct,1,1,1,1,1,0,0,,0,0,,0,,,0,,,0.03238941280964358,0.03238941280964358,0.03238941280964358,0.0,0.0,0.0,unusable,4,0.0,1.0,0.00018018018018018018,split_missing
train,cumulative_family_set_after_step,momentum_rps|oscillator|price_trend|pullback_drawdown,1,t3_t5,up_5_10pct,2,2,2,2,2,2,0,0.0,2,0,0.0,2,1.0,0.0,2,0.5,0.5,0.06822811872808443,0.07016620809808538,0.07210429746808633,1.0,0.0,0.0,unusable,4,0.0,0.5,0.00036036036036036037,split_missing
train,cumulative_family_set_after_step,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,1,t11_t20,up_10_20pct,3,3,3,3,3,3,1,0.3333333333333333,3,0,0.0,3,1.0,0.0,3,0.0,1.0,0.10834482642718046,0.11177701382225314,0.11737748672661086,1.0,1.0,0.0,unusable,5,0.0,1.0,0.0005405405405405405,split_missing
train,cumulative_family_set_after_step,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,1,t11_t20,up_5_10pct,1,1,1,1,1,1,1,1.0,1,1,1.0,1,1.0,0.0,1,0.0,1.0,0.07268970705294753,0.07268970705294753,0.07268970705294753,1.0,0.0,0.0,unusable,5,0.0,1.0,0.00018018018018018018,split_missing
train,cumulative_family_set_after_step,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,1,t3_t5,down_or_flat,4,4,4,4,4,3,1,0.3333333333333333,3,1,0.3333333333333333,3,0.3333333333333333,0.3333333333333333,3,0.6666666666666666,0.3333333333333333,-0.020831803672403282,-0.008190656903529658,-0.0015740128900737782,0.0,0.0,0.0,unusable,5,0.25,0.5,0.0007207207207207207,split_missing
train,cumulative_family_set_after_step,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,1,t3_t5,up_0_5pct,18,18,18,18,17,15,5,0.3333333333333333,14,2,0.14285714285714285,16,0.5625,0.4375,16,0.375,0.625,0.02078810864830999,0.03250528407961906,0.04333764384585026,0.0,0.0,0.0,too_sparse_report_only,5,0.2222222222222222,0.5555555555555556,0.003243243243243243,denominator_thin
train,cumulative_family_set_after_step,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,1,t3_t5,up_10_20pct,4,4,4,4,4,4,2,0.5,4,1,0.25,4,0.5,0.5,4,0.0,1.0,0.10768440119576395,0.1361042424595904,0.1640474727886984,1.0,1.0,0.0,unusable,5,0.0,1.0,0.0007207207207207207,denominator_thin
train,cumulative_family_set_after_step,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,1,t3_t5,up_5_10pct,14,14,14,12,12,9,3,0.3333333333333333,9,3,0.3333333333333333,9,0.8888888888888888,0.1111111111111111,9,0.4444444444444444,0.5555555555555556,0.059119324762471614,0.0690139567253314,0.07719947001595856,1.0,0.0,0.0,too_sparse_report_only,5,0.21428571428571427,0.6428571428571429,0.0025225225225225223,denominator_thin
train,cumulative_family_set_after_step,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,1,t6_t10,up_0_5pct,3,3,3,3,3,2,0,0.0,3,0,0.0,2,0.0,1.0,3,0.0,1.0,0.014776554704348799,0.015754401575501564,0.029690132501061228,0.0,0.0,0.0,unusable,5,0.0,1.0,0.0005405405405405405,split_missing
train,cumulative_family_set_after_step,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,1,t6_t10,up_10_20pct,1,1,1,1,1,1,1,1.0,1,1,1.0,1,1.0,0.0,1,0.0,1.0,0.10530092785225209,0.10530092785225209,0.10530092785225209,1.0,1.0,0.0,unusable,5,0.0,1.0,0.00018018018018018018,split_missing
