split,seed_episode_count,failed_before_t3,failed_t3_to_t5,failed_t6_to_t10,failed_t11_to_t20,failed_t21_to_t30,failed_before_first_clean_fresh_count,no_clean_fresh_episode_count,first_clean_fresh_episode_count,survived_t30_no_fresh,survived_t30_with_fresh,first_clean_fresh_wait_return_p25,first_clean_fresh_wait_return_p50,first_clean_fresh_wait_return_p75,first_clean_fresh_wait_up_gt_10pct_rate,first_clean_fresh_wait_up_gt_20pct_rate
train,5139,846,678,747,701,372,2227,2288,2851,61,824,0.011301251442790483,0.028378383167648513,0.05348001318906803,0.07435987372851631,0.009119607155384075
validation,2891,364,426,424,434,206,1194,1216,1675,22,500,0.009119207227686166,0.02386280612327507,0.0430665999031829,0.03402985074626866,0.00417910447761194
robustness,2973,323,297,306,375,204,1079,1156,1817,77,799,0.011862118225783758,0.026098339131991666,0.046938942354265656,0.07264722069345074,0.024215740231150248
all,11003,1533,1401,1477,1510,782,4500,4660,6343,160,2123,0.010729225942521126,0.026090622799395335,0.048577957463449506,0.06321929686268327,0.012139366230490304
