split,seed_episode_id,instrument_id,step_signal_date,step_offset,added_family_set,added_family_count,matched_path_row_count,matched_precision_row_count,matched_precision_condition_group_count,precision_condition_group_uniqueness_status,precision_label_fields_consistent,fresh_signal_close_price_consistent,fresh_entry_date_consistent,fresh_entry_price_consistent,fresh_path_fields_consistent,reconciliation_status,failure_reason
train,00295481eb03df73,SZ002624,2020-01-06,14,volume_money,1,1,1,1,unique,True,True,True,True,True,passed,
validation,002fb53391b041ac,SH600522,2022-06-28,3,price_trend|range_breakout,2,2,2,2,unique,True,True,True,True,True,passed,
validation,002fb53391b041ac,SH600522,2022-07-14,15,oscillator|volatility_band,2,2,2,2,unique,True,True,True,True,True,passed,
robustness,00310deff52ca4da,SH601318,2024-04-29,3,pullback_drawdown|volatility_band|volume_money,3,3,3,3,unique,True,True,True,True,True,passed,
robustness,00310deff52ca4da,SH601318,2024-05-17,14,momentum_rps|oscillator|price_trend,3,3,3,3,unique,True,True,True,True,True,passed,
robustness,003778c569754967,SH600519,2024-03-12,14,oscillator|volume_money,2,2,2,2,unique,True,True,True,True,True,passed,
train,0050eddd8c7c96a4,SH600809,2020-03-03,8,momentum_rps,1,1,1,1,unique,True,True,True,True,True,passed,
train,0050eddd8c7c96a4,SH600809,2020-03-05,10,volatility_band,1,1,1,1,unique,True,True,True,True,True,passed,
validation,005188a6f5f21ce3,SH601838,2023-01-03,3,momentum_rps|pullback_drawdown,2,2,2,2,unique,True,True,True,True,True,passed,
validation,005188a6f5f21ce3,SH601838,2023-01-04,4,range_breakout,1,1,1,1,unique,True,True,True,True,True,passed,
robustness,0052176bdd06dcd1,SH600028,2025-06-11,20,oscillator|volume_money,2,2,2,2,unique,True,True,True,True,True,passed,
robustness,0052176bdd06dcd1,SH600028,2025-06-12,21,volatility_band,1,1,1,1,unique,True,True,True,True,True,passed,
train,00572d8dfe93861a,SH603486,2021-03-22,4,oscillator|pullback_drawdown|range_breakout,3,3,3,3,unique,True,True,True,True,True,passed,
train,00572d8dfe93861a,SH603486,2021-03-24,6,volume_money,1,1,1,1,unique,True,True,True,True,True,passed,
train,00572d8dfe93861a,SH603486,2021-03-26,8,volatility_band,1,1,1,1,unique,True,True,True,True,True,passed,
train,005c26481c3d608b,SH600332,2019-01-21,3,momentum_rps,1,1,1,1,unique,True,True,True,True,True,passed,
validation,0063bfeaa7e6509b,SH601318,2022-08-29,3,pullback_drawdown,1,1,1,1,unique,True,True,True,True,True,passed,
validation,0063bfeaa7e6509b,SH601318,2022-08-30,4,momentum_rps,1,1,1,1,unique,True,True,True,True,True,passed,
validation,0063bfeaa7e6509b,SH601318,2022-09-09,12,oscillator,1,1,1,1,unique,True,True,True,True,True,passed,
robustness,006bcd6242f0bde2,SZ000301,2025-08-25,3,pullback_drawdown,1,1,1,1,unique,True,True,True,True,True,passed,
train,007d247701b2563f,SH600196,2019-03-15,3,momentum_rps,1,1,1,1,unique,True,True,True,True,True,passed,
train,007d247701b2563f,SH600196,2019-03-18,4,price_trend|range_breakout,2,2,2,2,unique,True,True,True,True,True,passed,
train,007d247701b2563f,SH600196,2019-04-09,19,volume_money,1,1,1,1,unique,True,True,True,True,True,passed,
train,007d247701b2563f,SH600196,2019-04-10,20,oscillator|volatility_band,2,2,2,2,unique,True,True,True,True,True,passed,
train,00896468c53ce04f,SH601998,2018-10-25,3,pullback_drawdown|range_breakout,2,2,2,2,unique,True,True,True,True,True,passed,
