split,grouping_scheme,outcome_family,evaluated_row_count,evaluated_bucket_count,sufficient_bucket_count,thin_or_sparse_bucket_count,weighted_abs_lift_vs_parent,max_positive_lift_vs_parent,max_negative_lift_vs_parent,direction_consistent_bucket_count,direction_inconsistent_bucket_count,price_bucket_coverage_rate,interpretation_status
train,checkpoint_fresh_count,seed_anchor_big_winner,20670,20,20,0,0.033108101624135244,0.10789293946896614,-0.05262020195781736,9,11,1.0,descriptive_similar_to_fresh_count
train,checkpoint_fresh_count,seed_path_good_bad,21350,20,20,0,0.4236244152054802,0.7693805391008863,-0.5877465814102394,13,7,1.0,descriptive_similar_to_fresh_count
train,checkpoint_fresh_count,fresh_anchor_big_winner,9437,15,15,0,0.023802162962836493,0.03775709907315092,-0.05053674615112734,5,10,1.0,descriptive_similar_to_fresh_count
train,checkpoint_fresh_count,fresh_path_good_bad,9783,15,15,0,0.07380978411299625,0.10354550906264914,-0.18485245852315613,7,8,1.0,descriptive_similar_to_fresh_count
train,checkpoint_latest_kth_offset,seed_anchor_big_winner,20670,42,23,19,0.031338219946265504,0.1410183108296316,-0.15191098209966133,24,18,1.0,descriptive_similar_to_fresh_count
train,checkpoint_latest_kth_offset,seed_path_good_bad,21350,42,23,19,0.4164059913672537,1.2250878220140515,-0.5877465814102394,36,6,1.0,descriptive_similar_to_fresh_count
train,checkpoint_latest_kth_offset,fresh_anchor_big_winner,9437,37,18,19,0.021158190536694196,0.08172494193042229,-0.11829375549692173,14,23,1.0,descriptive_weaker_than_fresh_count
train,checkpoint_latest_kth_offset,fresh_path_good_bad,9783,37,18,19,0.08922725139488547,0.249514391665195,-0.3055459121680264,23,14,1.0,descriptive_more_informative_than_fresh_count
train,checkpoint_latest_kth_offset_wait_bucket,seed_anchor_big_winner,20670,177,14,163,0.0364198605328879,0.5760000000000001,-0.25925925925925924,98,79,0.4508659272231952,descriptive_more_informative_than_fresh_count
train,checkpoint_latest_kth_offset_wait_bucket,seed_path_good_bad,21350,177,14,163,0.1749158993256646,1.134198795651834,-1.9375,110,67,0.4508659272231952,descriptive_weaker_than_fresh_count
train,checkpoint_latest_kth_offset_wait_bucket,fresh_anchor_big_winner,9437,172,9,163,0.04405071102011145,0.30400000000000005,-0.1871345029239766,87,85,0.4508659272231952,descriptive_more_informative_than_fresh_count
train,checkpoint_latest_kth_offset_wait_bucket,fresh_path_good_bad,9783,172,9,163,0.08917077931778455,1.3565891472868217,-0.7027027027027027,82,90,0.4508659272231952,descriptive_more_informative_than_fresh_count
train,kth_offset,seed_anchor_big_winner,4549,15,8,7,0.04488802051935036,0.12226756521668442,-0.06673698910992586,8,7,1.0,descriptive_similar_to_fresh_count
train,kth_offset,seed_path_good_bad,4683,15,8,7,0.18854233897666847,0.7675708038317368,-0.005815410610276295,13,2,1.0,descriptive_similar_to_fresh_count
train,kth_offset,fresh_anchor_big_winner,4597,15,8,7,0.03331962768655481,0.04888591938842102,-0.06539979489729328,5,10,1.0,descriptive_similar_to_fresh_count
train,kth_offset,fresh_path_good_bad,4748,15,8,7,0.036924605864288,0.17487062221687333,-0.3965579492116981,7,8,1.0,descriptive_similar_to_fresh_count
