split,kth_fresh_step_bucket,kth_fresh_offset_bucket,wait_return_bucket,fresh_step_count,unique_seed_episode_count,unique_instrument_count,unique_step_signal_date_count,seed_anchor_big_winner_rate,fresh_anchor_big_winner_rate,seed_P_good,seed_P_bad,fresh_P_good,fresh_P_bad,seed_to_fresh_big_winner_rate_gap,seed_to_fresh_P_good_gap,seed_to_fresh_P_bad_gap,interpretation_note_code
train,4plus,t11_t20,up_gt_20pct,13,12,12,13,0.7,0.36363636363636365,1.0,0.0,0.36363636363636365,0.6363636363636364,0.3363636363636363,0.6363636363636364,-0.6363636363636364,price_cost_high_confirmation_only
train,4plus,t21_t30,up_0_5pct,8,8,8,8,0.0,0.0,0.5,0.5,0.25,0.625,0.0,0.25,-0.125,insufficient_denominator
train,4plus,t21_t30,up_10_20pct,39,36,35,38,0.3,0.14705882352941177,1.0,0.0,0.4117647058823529,0.5588235294117647,0.15294117647058822,0.5882352941176471,-0.5588235294117647,price_cost_high_confirmation_only
train,4plus,t21_t30,up_5_10pct,30,29,26,30,0.041666666666666664,0.038461538461538464,0.8333333333333334,0.16666666666666666,0.3076923076923077,0.6923076923076923,0.0032051282051282007,0.5256410256410257,-0.5256410256410257,seed_anchor_only_stronger
train,4plus,t21_t30,up_gt_20pct,12,12,11,11,0.3333333333333333,0.16666666666666666,1.0,0.0,0.25,0.75,0.16666666666666666,0.75,-0.75,price_cost_high_confirmation_only
train,4plus,t6_t10,up_0_5pct,1,1,1,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,insufficient_denominator
train,4plus,t6_t10,up_10_20pct,23,21,18,23,0.25,0.16666666666666666,1.0,0.0,0.15789473684210525,0.8421052631578947,0.08333333333333334,0.8421052631578947,-0.8421052631578947,price_cost_high_confirmation_only
train,4plus,t6_t10,up_5_10pct,13,13,12,12,0.0,0.0,1.0,0.0,0.36363636363636365,0.6363636363636364,0.0,0.6363636363636364,-0.6363636363636364,path_only_not_big_winner
train,4plus,t6_t10,up_gt_20pct,3,3,3,3,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,1.0,0.3333333333333333,1.0,-1.0,insufficient_denominator
validation,1,t11_t20,down_or_flat,32,32,29,27,0.047619047619047616,0.05,0.47619047619047616,0.38095238095238093,0.45,0.35,-0.0023809523809523864,0.026190476190476153,0.030952380952380953,fresh_anchor_remaining_opportunity_stronger
validation,1,t11_t20,up_0_5pct,110,110,80,87,0.04411764705882353,0.029850746268656716,0.43478260869565216,0.4492753623188406,0.3235294117647059,0.5588235294117647,0.014266900790166816,0.11125319693094626,-0.10954816709292414,seed_anchor_only_stronger
validation,1,t11_t20,up_10_20pct,10,10,10,10,0.2222222222222222,0.0,1.0,0.0,0.7777777777777778,0.2222222222222222,0.2222222222222222,0.2222222222222222,-0.2222222222222222,price_cost_high_confirmation_only
validation,1,t11_t20,up_5_10pct,24,24,24,20,0.09523809523809523,0.09090909090909091,0.7619047619047619,0.23809523809523808,0.2727272727272727,0.7272727272727273,0.004329004329004321,0.48917748917748916,-0.4891774891774892,seed_anchor_only_stronger
validation,1,t11_t20,up_gt_20pct,2,2,2,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,insufficient_denominator
