split,kth_fresh_step_bucket,kth_fresh_offset_bucket,fresh_step_count,unique_seed_episode_count,unique_instrument_count,unique_step_signal_date_count,wait_return_to_fresh_signal_close_p25,wait_return_to_fresh_signal_close_p50,wait_return_to_fresh_signal_close_p75,wait_return_to_fresh_entry_p25,wait_return_to_fresh_entry_p50,wait_return_to_fresh_entry_p75,pct_wait_down_or_flat,pct_wait_up_0_5pct,pct_wait_up_5_10pct,pct_wait_up_10_20pct,pct_wait_up_gt_20pct,sample_sufficiency_status
train,1,t11_t20,290,290,153,190,0.004016248240128473,0.018711031468254702,0.045828425620585256,0.002268412516065743,0.01642715790186966,0.04669410160093912,0.22413793103448276,0.5413793103448276,0.1206896551724138,0.09310344827586207,0.020689655172413793,sufficient
train,1,t21_t30,64,64,46,52,-0.006329357201686481,0.013086153464925143,0.047147160103408636,-0.00884911556355178,0.015168442263008508,0.045656782196240975,0.40625,0.390625,0.09375,0.0625,0.046875,thin_report_only
train,1,t3_t5,1953,1953,315,680,0.013945863998840347,0.02953593883607475,0.05387022667819985,0.012768810542510778,0.029940077897072426,0.05433463630015334,0.09421402969790067,0.6221198156682027,0.21249359959037378,0.06502816180235535,0.006144393241167435,sufficient
train,1,t6_t10,544,544,216,317,0.014125593412429416,0.028898037120011155,0.05433207468986373,0.0123142160602418,0.02835698780861251,0.05392256196430656,0.09375,0.6194852941176471,0.2261029411764706,0.051470588235294115,0.009191176470588236,sufficient
train,2,t11_t20,497,497,197,296,0.028142607413610188,0.053956869392500106,0.09263578759567181,0.02798509172220509,0.051975052593354665,0.09489386183760185,0.04426559356136821,0.4346076458752515,0.2937625754527163,0.2012072434607646,0.026156941649899398,sufficient
train,2,t21_t30,160,160,98,120,0.017444061257754995,0.05037479749518747,0.09970319806494088,0.017260218490089296,0.05076172933241441,0.1004954329969846,0.13125,0.3625,0.24375,0.21875,0.04375,thin_report_only
train,2,t3_t5,432,432,208,297,0.03593688477227941,0.054806813924274,0.08846854868589538,0.03534122385542171,0.05609017532792604,0.0876841380931328,0.020833333333333332,0.4027777777777778,0.3888888888888889,0.1712962962962963,0.016203703703703703,sufficient
train,2,t6_t10,602,602,223,367,0.03724875632746827,0.055585538605348095,0.08880870749811126,0.03525843058287215,0.05397935888184091,0.08826669349162136,0.023255813953488372,0.40863787375415284,0.3920265780730897,0.1511627906976744,0.024916943521594685,sufficient
train,3,t11_t20,327,327,177,230,0.05330099766338181,0.0792186142320701,0.11500357475161183,0.05202533447036761,0.07674416489959701,0.11864832229052225,0.0061162079510703364,0.2324159021406728,0.44036697247706424,0.26299694189602446,0.0581039755351682,sufficient
train,3,t21_t30,164,164,110,121,0.04804481009803402,0.09537472936435976,0.13773649965705625,0.04809633529417667,0.09546920588795682,0.137856746549333,0.018292682926829267,0.24390243902439024,0.2804878048780488,0.36585365853658536,0.09146341463414634,thin_report_only
train,3,t3_t5,35,35,33,33,0.06051800306974264,0.08208953364969851,0.11466458120701717,0.05805827965815513,0.08019492646946969,0.12573264572083942,0.0,0.17142857142857143,0.45714285714285713,0.34285714285714286,0.02857142857142857,too_sparse_report_only
train,3,t6_t10,215,215,149,171,0.05227836137536801,0.07954537552414842,0.11379574018357685,0.05191822724913886,0.07890959495795902,0.11446540797898908,0.004651162790697674,0.22790697674418606,0.4232558139534884,0.3023255813953488,0.04186046511627907,sufficient
train,4plus,t11_t20,138,122,92,121,0.0730005858677702,0.10411589916918562,0.14609992598136312,0.07457713453265019,0.10839538944908633,0.1434212945246383,0.0,0.11594202898550725,0.34057971014492755,0.4492753623188406,0.09420289855072464,thin_report_only
train,4plus,t21_t30,89,81,66,81,0.07812498932859513,0.11173187259550188,0.1601704718968675,0.07705780285130248,0.10903877356658276,0.15555549123064205,0.0,0.0898876404494382,0.33707865168539325,0.43820224719101125,0.1348314606741573,thin_report_only
