split,checkpoint,fresh_distinct_family_count_bucket,wait_return_bucket_before_or_at_checkpoint,fresh_step_count,seed_episode_count,unique_seed_episode_count,unique_instrument_count,unique_step_signal_date_count,seed_anchor_big_winner_denominator,seed_anchor_big_winner_count,seed_anchor_big_winner_rate,fresh_anchor_big_winner_denominator,fresh_anchor_big_winner_count,fresh_anchor_big_winner_rate,seed_path_denominator,seed_P_good,seed_P_bad,fresh_path_denominator,fresh_P_good,fresh_P_bad,wait_return_to_fresh_entry_p25,wait_return_to_fresh_entry_p50,wait_return_to_fresh_entry_p75,pct_wait_up_gt_5pct,pct_wait_up_gt_10pct,pct_wait_up_gt_20pct,sample_sufficiency_status
train,T+10,0,no_fresh,,2642,2642,385,0,2101,266,0.12660637791527843,0,0,,2167,0.12598061836640517,0.8527918781725888,0,,,,,,0.0,0.0,0.0,sufficient
train,T+10,1,down_or_flat,,127,127,102,111,102,10,0.09803921568627451,101,9,0.0891089108910891,105,0.1523809523809524,0.8095238095238095,104,0.22115384615384615,0.75,-0.013851345267842263,-0.005917224457964498,-0.0020991273871814875,0.0,0.0,0.0,thin_report_only
train,T+10,1,up_0_5pct,,485,485,196,302,397,40,0.10075566750629723,396,33,0.08333333333333333,409,0.3154034229828851,0.6161369193154034,410,0.2073170731707317,0.748780487804878,0.008958557779632725,0.0168067058527952,0.028957548327861904,0.0,0.0,0.0,sufficient
train,T+10,1,up_10_20pct,,36,36,35,33,30,13,0.43333333333333335,30,8,0.26666666666666666,31,1.0,0.0,30,0.23333333333333334,0.7666666666666667,0.11550882479515096,0.13467402836295106,0.15407409466182237,1.0,1.0,0.0,too_sparse_report_only
train,T+10,1,up_5_10pct,,95,95,80,86,71,17,0.23943661971830985,72,15,0.20833333333333334,77,0.7142857142857143,0.2727272727272727,78,0.24358974358974358,0.7564102564102564,0.05524556183596141,0.06779809235923118,0.0789700220864602,1.0,0.0,0.0,thin_report_only
train,T+10,1,up_gt_20pct,,6,6,6,6,4,3,0.75,4,1,0.25,5,0.8,0.2,5,0.0,1.0,0.22460545142714872,0.25886897130801123,0.3291522646251851,1.0,1.0,1.0,unusable
train,T+10,2,down_or_flat,,26,26,24,25,25,2,0.08,25,2,0.08,26,0.15384615384615385,0.8461538461538461,26,0.19230769230769232,0.8076923076923077,-0.013513010640114897,-0.007717612713844357,-0.004496298416476613,0.0,0.0,0.0,too_sparse_report_only
train,T+10,2,up_0_5pct,,336,336,170,250,274,24,0.08759124087591241,272,23,0.08455882352941177,283,0.38515901060070673,0.5547703180212014,283,0.24028268551236748,0.7031802120141343,0.014313335545265982,0.023316056606377478,0.03288444396326323,0.0,0.0,0.0,sufficient
train,T+10,2,up_10_20pct,,40,40,37,38,32,8,0.25,30,4,0.13333333333333333,33,0.9393939393939394,0.06060606060606061,32,0.21875,0.78125,0.10932448842485076,0.1278701931672973,0.15453169179159393,1.0,1.0,0.0,too_sparse_report_only
train,T+10,2,up_5_10pct,,109,109,94,98,79,14,0.17721518987341772,79,10,0.12658227848101267,81,0.7407407407407407,0.24691358024691357,81,0.2345679012345679,0.7283950617283951,0.057786498568414446,0.06512132136728233,0.07687951735131926,1.0,0.0,0.0,thin_report_only
train,T+10,2,up_gt_20pct,,4,4,4,4,3,1,0.3333333333333333,3,1,0.3333333333333333,3,1.0,0.0,3,0.3333333333333333,0.6666666666666666,0.22318148282045103,0.2317670945222735,0.27504917407521534,1.0,1.0,1.0,unusable
train,T+10,3plus,down_or_flat,,12,12,12,12,10,2,0.2,10,2,0.2,11,0.36363636363636365,0.5454545454545454,11,0.5454545454545454,0.45454545454545453,-0.04141369859963942,-0.011314575372954272,-0.0057272222652292315,0.0,0.0,0.0,too_sparse_report_only
train,T+10,3plus,up_0_5pct,,378,378,182,268,328,41,0.125,328,39,0.11890243902439024,336,0.43154761904761907,0.5029761904761905,337,0.22255192878338279,0.771513353115727,0.027609495139426288,0.03715371436045978,0.043792392145201586,0.0,0.0,0.0,sufficient
train,T+10,3plus,up_10_20pct,,264,264,169,203,204,73,0.35784313725490197,206,46,0.22330097087378642,215,0.9534883720930233,0.046511627906976744,218,0.3623853211009174,0.6284403669724771,0.11130510597428878,0.12652102179208757,0.15022077719139898,1.0,1.0,0.0,sufficient
train,T+10,3plus,up_5_10pct,,548,548,216,371,449,101,0.22494432071269488,448,70,0.15625,462,0.79004329004329,0.20562770562770563,461,0.2928416485900217,0.6941431670281996,0.05936824989607442,0.06991308497442794,0.08296835686599602,1.0,0.0,0.0,sufficient
train,T+10,3plus,up_gt_20pct,,31,31,30,29,25,13,0.52,25,6,0.24,26,1.0,0.0,26,0.2692307692307692,0.7307692307692307,0.21276500436058643,0.23094164218866964,0.2931015415994571,1.0,1.0,1.0,too_sparse_report_only
train,T+20,0,no_fresh,,2352,2352,381,0,1865,239,0.12815013404825737,0,0,,1922,0.07023933402705515,0.9146722164412071,0,,,,,,0.0,0.0,0.0,sufficient
train,T+20,1,down_or_flat,,131,131,95,110,103,8,0.07766990291262135,104,7,0.0673076923076923,107,0.1308411214953271,0.8037383177570093,108,0.2037037037037037,0.75,-0.015083181262523282,-0.006103164459319799,-0.0022265255255214944,0.0,0.0,0.0,thin_report_only
train,T+20,1,up_0_5pct,,370,370,185,246,309,27,0.08737864077669903,308,22,0.07142857142857142,321,0.19003115264797507,0.7320872274143302,321,0.13707165109034267,0.822429906542056,0.008702439791011096,0.01574548926818864,0.027735164921899425,0.0,0.0,0.0,sufficient
train,T+20,1,up_10_20pct,,38,38,38,36,31,13,0.41935483870967744,31,9,0.2903225806451613,32,1.0,0.0,31,0.3225806451612903,0.6774193548387096,0.11956325390109696,0.1365520251894985,0.15506871182138138,1.0,1.0,0.0,too_sparse_report_only
train,T+20,1,up_5_10pct,,81,81,71,75,63,18,0.2857142857142857,65,16,0.24615384615384617,66,0.6212121212121212,0.36363636363636365,68,0.16176470588235295,0.8382352941176471,0.055539542973442435,0.06779809235923118,0.07899262291672371,1.0,0.0,0.0,thin_report_only
train,T+20,1,up_gt_20pct,,8,8,8,8,6,3,0.5,6,1,0.16666666666666666,7,0.8571428571428571,0.14285714285714285,7,0.0,1.0,0.23596297239672637,0.25886897130801123,0.29049628379621917,1.0,1.0,1.0,unusable
train,T+20,2,down_or_flat,,43,43,38,40,39,2,0.05128205128205128,39,2,0.05128205128205128,41,0.17073170731707318,0.7804878048780488,41,0.17073170731707318,0.7804878048780488,-0.010706892899291443,-0.006789587356887616,-0.002740758008131783,0.0,0.0,0.0,too_sparse_report_only
train,T+20,2,up_0_5pct,,317,317,157,230,246,13,0.052845528455284556,254,13,0.051181102362204724,254,0.23622047244094488,0.6771653543307087,264,0.15151515151515152,0.7878787878787878,0.011402882503091627,0.020539132434711282,0.03162651240505543,0.0,0.0,0.0,sufficient
train,T+20,2,up_10_20pct,,58,58,52,53,45,11,0.24444444444444444,43,5,0.11627906976744186,47,0.9574468085106383,0.0425531914893617,46,0.2826086956521739,0.717391304347826,0.11420845569607113,0.13005399091096304,0.16084360269080927,1.0,1.0,0.0,thin_report_only
train,T+20,2,up_5_10pct,,110,110,91,97,83,12,0.14457831325301204,83,8,0.0963855421686747,85,0.7176470588235294,0.27058823529411763,85,0.25882352941176473,0.6941176470588235,0.0595182277653758,0.06837119941697556,0.07912354335030969,1.0,0.0,0.0,thin_report_only
train,T+20,2,up_gt_20pct,,11,11,11,11,10,4,0.4,9,1,0.1111111111111111,10,1.0,0.0,10,0.3,0.7,0.23009650169493245,0.2373290214672623,0.27974416575158334,1.0,1.0,1.0,too_sparse_report_only
train,T+20,3plus,down_or_flat,,14,14,13,14,10,2,0.2,12,2,0.16666666666666666,11,0.2727272727272727,0.6363636363636364,13,0.38461538461538464,0.6153846153846154,-0.03497390274445669,-0.010699998334628924,-0.002836569160571789,0.0,0.0,0.0,too_sparse_report_only
train,T+20,3plus,up_0_5pct,,444,444,178,303,374,36,0.0962566844919786,375,34,0.09066666666666667,384,0.3697916666666667,0.5651041666666666,386,0.19689119170984457,0.7927461139896373,0.025333226372958095,0.035910782227672744,0.043297915890598615,0.0,0.0,0.0,sufficient
