year,portfolio_id,cost_scenario,return,max_drawdown,turnover,cost_drag,benchmark_excess,fill_rate
2021,monthly_rebalance_topk_50,base,0.02211447274843148,-0.03892162093388407,2.331838383654952,0.004037605124743076,-0.2921589709572905,0.9995867768595041
2021,monthly_rebalance_topk_50,high,0.020444510655129422,-0.03907160470874638,2.332077989407535,0.005744814378829075,-0.2938994534635826,0.9995867768595041
2021,monthly_rebalance_topk_50,low,0.023941752086855228,-0.038760516222462016,2.3315778606505297,0.002172401835817435,-0.2902543932650299,0.9995867768595041
2021,topk_100_dropout_10,base,0.14471477196583926,-0.12108379531874358,48.95942129705971,0.08542484224443768,-0.16407189427364455,0.9906698564593301
2021,topk_100_dropout_10,high,0.10538233124474705,-0.12396878151319135,48.98949982016206,0.12199100916944201,-0.2052294628453042,0.9906698564593301
2021,topk_100_dropout_10,low,0.1884277848619904,-0.11794658699321403,48.92735931825387,0.046227350264016254,-0.11826194212684937,0.9906698564593301
2021,topk_100_full_rebalance,base,0.051910688762182966,-0.165365195088654,166.8560735807734,0.2916903374103931,-0.2610849159981583,0.9966417195260598
2021,topk_100_full_rebalance,high,-0.06709654665696252,-0.17322690776030947,166.96261754535485,0.41692191862907807,-0.38496783754122854,0.9966417195260598
2021,topk_100_full_rebalance,low,0.19556497282019358,-0.15692359008492718,166.73625923417288,0.15811580371531586,-0.11077569533400711,0.9966417195260598
2021,topk_20_dropout_2,base,0.08487615211060962,-0.11561587133038154,48.624319677194606,0.08484239837200794,-0.22666332685669355,0.9765840220385674
2021,topk_20_dropout_2,high,0.04778918463817661,-0.1173117867208614,48.651952761446914,0.12115164862141681,-0.2653853662531447,0.9765840220385674
2021,topk_20_dropout_2,low,0.12608935277264388,-0.1138106116843004,48.59483640079891,0.045914279846406184,-0.18356899117806158,0.9765840220385674
2021,topk_50_dropout_5,base,0.23041762562503498,-0.11948680129904587,48.9686568307337,0.08544553043700276,-0.07419216469066958,0.9853994490358128
2021,topk_50_dropout_5,high,0.188236783674955,-0.12249821750953205,48.99684997041831,0.12201658830281871,-0.11846225914571429,0.9853994490358128
2021,topk_50_dropout_5,low,0.27729236651876366,-0.11624517773298715,48.938586384981704,0.04624228792265572,-0.02492213098890561,0.9853994490358128
2021,topk_50_dropout_5_daily,base,0.23041762562503498,-0.11948680129904587,48.9686568307337,0.08544553043700276,-0.07419216469066958,0.9853994490358128
2021,topk_50_dropout_5_daily,high,0.188236783674955,-0.12249821750953205,48.99684997041831,0.12201658830281871,-0.11846225914571429,0.9853994490358128
2021,topk_50_dropout_5_daily,low,0.27729236651876366,-0.11624517773298715,48.938586384981704,0.04624228792265572,-0.02492213098890561,0.9853994490358128
2021,topk_50_dropout_5_daily_label_10d,base,0.24575205504361253,-0.18728869910126245,48.264895784014435,0.0841792359292514,-0.05808254280322278,0.9834136822773187
2021,topk_50_dropout_5_daily_label_10d,high,0.20328527465051094,-0.19050574105685147,48.284663626297956,0.12018588351773128,-0.10267573713294742,0.9834136822773187
2021,topk_50_dropout_5_daily_label_10d,low,0.2926126216740679,-0.18384244242931846,48.249039998946365,0.04556437822861826,-0.00880266919986239,0.9834136822773187
2021,topk_50_dropout_5_daily_label_5d,base,0.24435855609337498,-0.12137625923654605,49.34531276706571,0.08609187689254368,-0.059546826526287955,0.989485766758494
2021,topk_50_dropout_5_daily_label_5d,high,0.2013875705022914,-0.12455558040373516,49.37371220202859,0.12294067154352452,-0.10466696306529988,0.989485766758494
2021,topk_50_dropout_5_daily_label_5d,low,0.292119567460436,-0.11796343426554834,49.315025725433,0.046593042408869786,-0.009321567870685277,0.989485766758494
2021,topk_50_full_rebalance,base,-0.016655692630854313,-0.21889534384806253,230.31826467722476,0.40283412258802714,-0.33253565706652577,0.9973196424449978
2021,topk_50_full_rebalance,high,-0.16728515200034522,-0.23982303757337176,230.44466722987855,0.5757877070370802,-0.4887582783383996,0.9973196424449978
2021,topk_50_full_rebalance,low,0.1738310850037994,-0.20673874083907395,230.16039593698537,0.21841375938198584,-0.13356672747858167,0.9973196424449978
2021,weekly_rebalance_topk_50,base,0.051722865036311294,-0.05322996675255165,10.527537249984608,0.01835094111055912,-0.2612809097568167,0.9978879706152433
2021,weekly_rebalance_topk_50,high,0.04385789545776664,-0.05495223830679552,10.529505571190306,0.02617835080534388,-0.26948669160381056,0.9978879706152433
2021,weekly_rebalance_topk_50,low,0.06025370189461543,-0.05138842563510915,10.525426513187584,0.009924860360251813,-0.2523775399291237,0.9978879706152433
2022,monthly_rebalance_topk_50,base,-0.014334460868279053,-0.06668628519810815,2.456878376133223,0.004289857273023114,0.05676687885988585,1.0
2022,monthly_rebalance_topk_50,high,-0.016077466958175357,-0.0668409565129211,2.457240583160422,0.006123392764601044,0.05495299659730024,1.0
2022,monthly_rebalance_topk_50,low,-0.012462102436652245,-0.06652072944663068,2.456488746121115,0.002323462661143913,0.05871552100579358,1.0
2022,topk_100_dropout_10,base,-0.0819542488585544,-0.2163321805796854,50.143279335330014,0.08771348106762245,-0.013503107358643684,0.9966398434101784
