feature_name,feature_family,qlib_expression_or_source,lookback_window,uses_future_data,primary_allowed,sensitivity_allowed
BETA5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
BETA10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
BETA20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
BETA30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
BETA60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
RSQR5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
RSQR10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
RSQR20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
RSQR30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
RSQR60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
RESI5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
RESI10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
RESI20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
RESI30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
RESI60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
MAX5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
MAX10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
MAX20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
MAX30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
MAX60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
MIN5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
MIN10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
MIN20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
MIN30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
MIN60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
QTLU5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
QTLU10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
QTLU20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
QTLU30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
QTLU60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
QTLD5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
QTLD10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
QTLD20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
QTLD30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
QTLD60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
RANK5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
