fold_id,portfolio_id,repeat_id,same_turnover,same_turnover_or_n_drop,turnover_match_ratio,model_turnover_annualized,random_turnover_annualized,same_execution_constraints,same_cost_model,net_annual_return,excess_return,model_beats_random,empirical_p_value,used_for_p_value
all_oos,topk_50_dropout_5_daily,0,True,True,1.011913830431437,49.6886819783705,50.28066450982241,True,True,-0.04255589817337013,-0.04255589817337013,True,0.0,True
all_oos,topk_50_dropout_5_daily,1,True,True,1.011802535770628,49.6886819783705,50.275134424815576,True,True,-0.04009955059237691,-0.04009955059237691,True,0.0,True
all_oos,topk_50_dropout_5_daily,2,True,True,1.0112772570048092,49.6886819783705,50.24903401527081,True,True,-0.0426212783351716,-0.0426212783351716,True,0.0,True
all_oos,topk_50_dropout_5_daily,3,True,True,0.9946459033696974,49.6886819783705,49.422643973625924,True,True,-0.027892035765043177,-0.027892035765043177,True,0.0,True
all_oos,topk_50_dropout_5_daily,4,True,True,1.0109639689106338,49.6886819783705,50.233467142791724,True,True,-0.030713930901039244,-0.030713930901039244,True,0.0,True
all_oos,topk_50_dropout_5_daily,5,True,True,1.010799316302584,49.6886819783705,50.22528577171342,True,True,-0.05601677687594597,-0.05601677687594597,True,0.0,True
all_oos,topk_50_dropout_5_daily,6,True,True,1.005593667399424,49.6886819783705,49.966623938873255,True,True,-0.02744570022017967,-0.02744570022017967,True,0.0,True
all_oos,topk_50_dropout_5_daily,7,True,True,1.012348422052743,49.6886819783705,50.302258794683944,True,True,-0.06239857140673333,-0.06239857140673333,True,0.0,True
all_oos,topk_50_dropout_5_daily,8,True,True,1.012395775920981,49.6886819783705,50.30461174598326,True,True,-0.054217923048686556,-0.054217923048686556,True,0.0,True
all_oos,topk_50_dropout_5_daily,9,True,True,1.0122310145077515,49.6886819783705,50.296424968519,True,True,-0.05874314567845629,-0.05874314567845629,True,0.0,True
all_oos,topk_50_dropout_5_daily,10,True,True,1.011916986376215,49.6886819783705,50.280821324558815,True,True,-0.06318788678945453,-0.06318788678945453,True,0.0,True
all_oos,topk_50_dropout_5_daily,11,True,True,1.0111967681661709,49.6886819783705,50.2450346309649,True,True,-0.07629952685599917,-0.07629952685599917,True,0.0,True
all_oos,topk_50_dropout_5_daily,12,True,True,1.0113999878081257,49.6886819783705,50.25513234712576,True,True,-0.052454447739281096,-0.052454447739281096,True,0.0,True
all_oos,topk_50_dropout_5_daily,13,True,True,1.012097673636277,49.6886819783705,50.289799436361584,True,True,-0.05822656153696537,-0.05822656153696537,True,0.0,True
all_oos,topk_50_dropout_5_daily,14,True,True,1.01234647062945,49.6886819783705,50.30216183103253,True,True,-0.06419085738616703,-0.06419085738616703,True,0.0,True
all_oos,topk_50_dropout_5_daily,15,True,True,1.0123455670601784,49.6886819783705,50.302116933866344,True,True,-0.05875985641363035,-0.05875985641363035,True,0.0,True
all_oos,topk_50_dropout_5_daily,16,True,True,1.0113894116694333,49.6886819783705,50.25460683273371,True,True,-0.037688674890976825,-0.037688674890976825,True,0.0,True
all_oos,topk_50_dropout_5_daily,17,True,True,1.009368272368765,49.6886819783705,50.154179084788815,True,True,-0.044552924538718064,-0.044552924538718064,True,0.0,True
all_oos,topk_50_dropout_5_daily,18,True,True,1.0120566099650932,49.6886819783705,50.28775903666327,True,True,-0.06617996151660899,-0.06617996151660899,True,0.0,True
