fold_id,portfolio_id,cost_scenario,net_annual_return,cost_drag_annualized,base_return,collapse_vs_base,pass
all_oos,monthly_rebalance_topk_50,base,-0.0012833870375715817,0.004259955586480646,-0.0012833870375715817,True,False
all_oos,monthly_rebalance_topk_50,high,-0.0031053410356086664,0.006081831115200629,-0.0012833870375715817,True,False
all_oos,monthly_rebalance_topk_50,low,0.0006717343404065712,0.002308216839550715,-0.0012833870375715817,False,True
all_oos,topk_100_dropout_10,base,0.06940598091648353,0.08725520735539022,0.06940598091648353,False,True
all_oos,topk_100_dropout_10,high,0.030053057253549564,0.12471724903828665,0.06940598091648353,False,True
all_oos,topk_100_dropout_10,low,0.11299936241725073,0.04731529972751431,0.06940598091648353,False,True
all_oos,topk_100_full_rebalance,base,-0.04522081904483222,0.2767688802570495,-0.04522081904483222,True,False
all_oos,topk_100_full_rebalance,high,-0.1524450979189601,0.39532129517458814,-0.04522081904483222,True,False
all_oos,topk_100_full_rebalance,low,0.08322014132349098,0.15025832137927062,-0.04522081904483222,False,True
all_oos,topk_20_dropout_2,base,0.04996977273301262,0.08690041676652074,0.04996977273301262,False,True
all_oos,topk_20_dropout_2,high,0.011524741733424992,0.12417937422046132,0.04996977273301262,True,False
all_oos,topk_20_dropout_2,low,0.09246317256642511,0.0471360075108135,0.04996977273301262,False,True
all_oos,topk_50_dropout_5,base,0.09169162118114893,0.08689861122674522,0.09169162118114893,False,True
all_oos,topk_50_dropout_5,high,0.051701853418185895,0.12419884048951756,0.09169162118114893,False,True
all_oos,topk_50_dropout_5,low,0.13592074836749668,0.04712725423740978,0.09169162118114893,False,True
all_oos,topk_50_dropout_5_daily,base,0.09169162118114893,0.08689861122674522,0.09169162118114893,False,True
all_oos,topk_50_dropout_5_daily,high,0.051701853418185895,0.12419884048951756,0.09169162118114893,False,True
all_oos,topk_50_dropout_5_daily,low,0.13592074836749668,0.04712725423740978,0.09169162118114893,False,True
all_oos,topk_50_dropout_5_daily_label_10d,base,0.06248813777316986,0.08672866615168638,0.06248813777316986,False,True
all_oos,topk_50_dropout_5_daily_label_10d,high,0.02359116466364486,0.1239252651322226,0.06248813777316986,False,True
all_oos,topk_50_dropout_5_daily_label_10d,low,0.1054786204387721,0.047045963293563024,0.06248813777316986,False,True
all_oos,topk_50_dropout_5_daily_label_5d,base,0.07787210742061634,0.08695443781128091,0.07787210742061634,False,True
all_oos,topk_50_dropout_5_daily_label_5d,high,0.03823091950322399,0.12426451466415922,0.07787210742061634,False,True
all_oos,topk_50_dropout_5_daily_label_5d,low,0.12166679116816304,0.047158444138669556,0.07787210742061634,False,True
all_oos,topk_50_full_rebalance,base,-0.12603652651215247,0.41495953663136137,-0.12603652651215247,True,False
all_oos,topk_50_full_rebalance,high,-0.26864514235599546,0.5928493802282155,-0.12603652651215247,True,False
all_oos,topk_50_full_rebalance,low,0.05659390186435309,0.2252106991765281,-0.12603652651215247,False,True
all_oos,weekly_rebalance_topk_50,base,0.0021616541877238493,0.01835459783379633,0.0021616541877238493,False,True
all_oos,weekly_rebalance_topk_50,high,-0.0056948432861346765,0.026219083640170667,0.0021616541877238493,True,False
all_oos,weekly_rebalance_topk_50,low,0.010623489944476594,0.009951167412966228,0.0021616541877238493,False,True
