date,side,block_reason,order_count,blocked_order_count,blocked_notional,block_rate,limit_rule_source
2021-01-05,buy,filled,576,0,8400000.0,0.0,config_default
2021-01-06,buy,filled,309,0,5010584.875394926,0.0,config_default
2021-01-06,sell,filled,228,0,3535363.151072829,0.0,config_default
2021-01-07,buy,filled,309,0,4911392.980980003,0.0,config_default
2021-01-07,sell,filled,267,0,4200514.071448358,0.0,config_default
2021-01-08,buy,filled,279,0,4549039.016914181,0.0,config_default
2021-01-08,sell,filled,240,0,4009492.372136376,0.0,config_default
2021-01-11,buy,filled,315,0,5144709.772798264,0.0,config_default
2021-01-11,sell,filled,297,0,4812764.105822828,0.0,config_default
2021-01-12,buy,filled,273,0,4311314.82599963,0.0,config_default
2021-01-12,sell,filled,246,0,3836586.4805794186,0.0,config_default
2021-01-13,buy,filled,297,0,4729152.23394723,0.0,config_default
2021-01-13,sell,filled,279,0,4301413.861998434,0.0,config_default
2021-01-14,buy,filled,294,0,4716143.140322921,0.0,config_default
2021-01-14,sell,filled,243,0,3703031.6037775916,0.0,config_default
2021-01-15,buy,filled,258,0,4122374.964489582,0.0,config_default
2021-01-15,sell,filled,204,0,3246918.7807125673,0.0,config_default
2021-01-18,buy,filled,270,0,4416295.128842057,0.0,config_default
2021-01-18,sell,filled,264,0,4283467.35301262,0.0,config_default
2021-01-19,buy,filled,267,0,4187862.645655503,0.0,config_default
2021-01-19,sell,filled,267,0,4206599.005527068,0.0,config_default
2021-01-20,buy,filled,273,0,4261256.191773603,0.0,config_default
2021-01-20,sell,filled,240,0,3764583.6918563275,0.0,config_default
2021-01-21,buy,filled,258,0,4191935.6945612007,0.0,config_default
2021-01-21,sell,filled,252,0,4215510.070953692,0.0,config_default
2021-01-22,buy,filled,270,0,4372452.774149839,0.0,config_default
2021-01-22,sell,filled,270,0,4426573.087547442,0.0,config_default
2021-01-25,buy,filled,297,0,4859868.2525103185,0.0,config_default
2021-01-25,sell,filled,294,0,4870746.4330977,0.0,config_default
2021-01-26,buy,filled,255,0,4071981.8873516447,0.0,config_default
2021-01-26,buy,limit_up_buy_block,3,3,62884.305014076745,1.0,config_default
2021-01-26,sell,filled,252,0,4124666.3918329147,0.0,config_default
2021-01-27,buy,filled,261,0,4215819.4787308425,0.0,config_default
2021-01-27,sell,filled,261,0,4153322.2284108093,0.0,config_default
2021-01-28,buy,filled,246,0,4030054.3139748676,0.0,config_default
2021-01-28,sell,filled,246,0,4047596.3608863894,0.0,config_default
2021-01-29,buy,filled,261,0,4182057.665453108,0.0,config_default
2021-01-29,sell,filled,258,0,4095518.9317562324,0.0,config_default
2021-02-01,buy,filled,249,0,4163985.3278652974,0.0,config_default
2021-02-01,sell,filled,231,0,3922388.3581717717,0.0,config_default
2021-02-02,buy,filled,240,0,3966566.6639977093,0.0,config_default
2021-02-02,sell,filled,237,0,3972243.828509756,0.0,config_default
2021-02-03,buy,filled,273,0,4437296.0107590305,0.0,config_default
2021-02-03,sell,filled,273,0,4500175.998112309,0.0,config_default
2021-02-04,buy,filled,249,0,4006705.4259107267,0.0,config_default
2021-02-04,sell,filled,249,0,4108557.1530279326,0.0,config_default
2021-02-05,buy,filled,228,0,3788630.0150668253,0.0,config_default
2021-02-05,sell,filled,213,0,3599389.5466074785,0.0,config_default
2021-02-05,sell,suspended_or_missing_open,6,6,127697.6763107682,1.0,config_default
2021-02-08,buy,filled,267,0,4412683.111836477,0.0,config_default
2021-02-08,sell,filled,246,0,3969137.9767928915,0.0,config_default
2021-02-08,sell,suspended_or_missing_open,6,6,127697.6763107682,1.0,config_default
2021-02-09,buy,filled,249,0,4049070.0496726944,0.0,config_default
2021-02-09,sell,filled,231,0,3703988.284160875,0.0,config_default
2021-02-09,sell,suspended_or_missing_open,6,6,127697.6763107682,1.0,config_default
2021-02-10,buy,filled,300,0,4876247.939902527,0.0,config_default
2021-02-10,sell,filled,300,0,4878365.737473093,0.0,config_default
2021-02-18,buy,filled,309,0,5279285.9522725595,0.0,config_default
2021-02-18,sell,filled,306,0,5272529.700774797,0.0,config_default
2021-02-19,buy,filled,297,0,4929231.09234565,0.0,config_default
2021-02-19,sell,filled,297,0,4960761.759156285,0.0,config_default
2021-02-22,buy,filled,324,0,5360352.398337265,0.0,config_default
2021-02-22,sell,filled,324,0,5437224.7313820915,0.0,config_default
2021-02-23,buy,filled,309,0,4936153.41033615,0.0,config_default
2021-02-23,sell,filled,309,0,5039085.834881401,0.0,config_default
2021-02-24,buy,filled,207,0,3494932.3016305207,0.0,config_default
2021-02-24,sell,filled,207,0,3474539.693058493,0.0,config_default
2021-02-25,buy,filled,195,0,3298300.053254523,0.0,config_default
2021-02-25,sell,filled,177,0,3046313.1050718697,0.0,config_default
2021-02-26,buy,filled,210,0,3431003.6157534146,0.0,config_default
2021-02-26,sell,filled,201,0,3359552.7140912297,0.0,config_default
2021-03-01,buy,filled,231,0,3892050.726479887,0.0,config_default
2021-03-01,sell,filled,204,0,3478503.3445467614,0.0,config_default
2021-03-02,buy,filled,231,0,3784666.081949953,0.0,config_default
2021-03-02,sell,filled,231,0,3760873.298488223,0.0,config_default
2021-03-03,buy,filled,219,0,3443582.14470105,0.0,config_default
2021-03-03,sell,filled,219,0,3493620.365368056,0.0,config_default
2021-03-04,buy,filled,270,0,4142326.199445965,0.0,config_default
2021-03-04,sell,filled,270,0,4140222.587955896,0.0,config_default
2021-03-05,buy,filled,273,0,4006755.3912589587,0.0,config_default
2021-03-05,sell,filled,261,0,3716088.781639669,0.0,config_default
2021-03-05,sell,limit_down_sell_block,3,3,56227.24597040671,1.0,config_default
2021-03-08,buy,filled,231,0,3752654.6552151097,0.0,config_default
2021-03-08,sell,filled,231,0,3648889.387729813,0.0,config_default
2021-03-09,buy,filled,201,0,3085288.566881078,0.0,config_default
2021-03-09,sell,filled,198,0,2966376.1289929245,0.0,config_default
2021-03-10,buy,filled,192,0,3170478.9792467593,0.0,config_default
2021-03-10,sell,filled,174,0,2965352.8355253725,0.0,config_default
2021-03-11,buy,filled,186,0,3037223.381006505,0.0,config_default
2021-03-11,sell,filled,174,0,2887282.8360039922,0.0,config_default
2021-03-12,buy,filled,204,0,3357212.009378245,0.0,config_default
2021-03-12,sell,filled,204,0,3318591.456865467,0.0,config_default
2021-03-15,buy,filled,246,0,3773225.234322703,0.0,config_default
2021-03-15,sell,filled,246,0,3787463.3718295605,0.0,config_default
2021-03-16,buy,filled,228,0,3391677.7204226144,0.0,config_default
2021-03-16,sell,filled,225,0,3338203.2783759395,0.0,config_default
2021-03-17,buy,filled,213,0,3244477.632855856,0.0,config_default
2021-03-17,sell,filled,213,0,3216626.728667682,0.0,config_default
2021-03-18,buy,filled,234,0,3654124.6559545724,0.0,config_default
2021-03-18,sell,filled,234,0,3647274.207944696,0.0,config_default
2021-03-19,buy,filled,276,0,4173020.444255718,0.0,config_default
2021-03-19,sell,filled,276,0,4172487.2114999397,0.0,config_default
2021-03-22,buy,filled,261,0,3951662.6768011767,0.0,config_default
2021-03-22,sell,filled,255,0,3856183.163086325,0.0,config_default
2021-03-23,buy,filled,252,0,3738124.036580647,0.0,config_default
