cost_scenario,commission_buy,commission_sell,stamp_tax_sell,slippage_buy,slippage_sell,decision_primary,pass
low,0.0005,0.0005,0.0005,0.0002,0.0002,False,True
base,0.001,0.001,0.0005,0.0005,0.0005,True,True
high,0.001,0.001,0.001,0.001,0.001,False,True
