date,portfolio_id,estimated_trade_notional,money_available,participation_rate_proxy,capacity_warning,pass
2021-01-05,topk_50_dropout_5_daily,100000.0,4857809344.0,2.0585410607666697e-05,False,True
2021-01-06,topk_50_dropout_5_daily,100435.31267824293,12005061504.0,8.366080643966598e-06,False,True
2021-01-07,topk_50_dropout_5_daily,203793.07175107134,8678438400.0,2.348268920720476e-05,False,True
2021-01-08,topk_50_dropout_5_daily,184406.09819366867,16467176624.0,1.1198404098302253e-05,False,True
2021-01-11,topk_50_dropout_5_daily,201962.5957761318,7260639264.0,2.7816090075912606e-05,False,True
2021-01-12,topk_50_dropout_5_daily,182848.94533436856,15910304576.0,1.1492485543626123e-05,False,True
2021-01-13,topk_50_dropout_5_daily,203896.43805275395,13572171296.0,1.5023125895327187e-05,False,True
2021-01-14,topk_50_dropout_5_daily,141018.12430343562,7278712672.0,1.9374047397956638e-05,False,True
2021-01-15,topk_50_dropout_5_daily,139777.3858026887,4500408496.0,3.10588218662648e-05,False,True
2021-01-18,topk_50_dropout_5_daily,199041.4665654983,13502545920.0,1.474103237602604e-05,False,True
2021-01-19,topk_50_dropout_5_daily,201548.6622779405,17786468160.0,1.1331572994980725e-05,False,True
2021-01-20,topk_50_dropout_5_daily,161253.21003171933,20030916096.0,8.050216438374489e-06,False,True
2021-01-21,topk_50_dropout_5_daily,205010.29350125446,28380187840.0,7.2237116490224915e-06,False,True
2021-01-22,topk_50_dropout_5_daily,205327.9137170585,22675404288.0,9.055093841291272e-06,False,True
2021-01-25,topk_50_dropout_5_daily,210391.33980931022,41993655648.0,5.010074416308416e-06,False,True
2021-01-26,topk_50_dropout_5_daily,210021.20542925783,25187899712.0,8.338178563145529e-06,False,True
2021-01-27,topk_50_dropout_5_daily,201823.65403443467,11546500416.0,1.747920553960812e-05,False,True
2021-01-28,topk_50_dropout_5_daily,203386.73336295618,9002425600.0,2.2592437016414352e-05,False,True
2021-01-29,topk_50_dropout_5_daily,202129.820781006,17303923968.0,1.1681155161962279e-05,False,True
2021-02-01,topk_50_dropout_5_daily,200646.66096987884,17155998336.0,1.1695423200691481e-05,False,True
2021-02-02,topk_50_dropout_5_daily,209881.1302140485,16364056256.0,1.2825739959008883e-05,False,True
2021-02-03,topk_50_dropout_5_daily,208757.9049668181,22307365248.0,9.35825018535233e-06,False,True
2021-02-04,topk_50_dropout_5_daily,207456.66918910298,20039141136.0,1.0352572886290539e-05,False,True
2021-02-05,topk_50_dropout_5_daily,206778.8400992768,20341821928.0,1.016520746426607e-05,False,True
2021-02-08,topk_50_dropout_5_daily,184814.09008024205,21461612864.0,8.61137936143894e-06,False,True
2021-02-09,topk_50_dropout_5_daily,164942.5605521705,8596594208.0,1.9186965972951797e-05,False,True
2021-02-10,topk_50_dropout_5_daily,208109.85690696086,13640446048.0,1.5256821967158069e-05,False,True
2021-02-18,topk_50_dropout_5_daily,210088.92135973074,29662242048.0,7.082705380792217e-06,False,True
2021-02-19,topk_50_dropout_5_daily,213142.75469736225,18265137376.0,1.1669375943343699e-05,False,True
2021-02-22,topk_50_dropout_5_daily,215832.92623601155,18436234208.0,1.1706996331298264e-05,False,True
