fold_id,label_name,train_start,train_end,valid_start,valid_end,test_start,test_end,eligible_feature_row_count,eligible_label_row_count,fold_trainable,pass
fold_2021,LABEL_1D_Q,2017-07-04,2019-12-31,2020-01-01,2020-12-31,2021-01-01,2021-12-31,116360,114946,True,True
fold_2022,LABEL_1D_Q,2017-07-04,2020-12-31,2021-01-01,2021-12-31,2022-01-01,2022-12-31,179726,178034,True,True
fold_2023,LABEL_1D_Q,2017-07-04,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,256865,254900,True,True
fold_2024,LABEL_1D_Q,2017-07-04,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,334991,332947,True,True
fold_2025,LABEL_1D_Q,2017-07-04,2023-12-31,2024-01-01,2024-12-31,2025-01-01,2025-12-31,408841,406784,True,True
fold_2021,LABEL_5D,2017-07-04,2019-12-31,2020-01-01,2020-12-31,2021-01-01,2021-12-31,116360,114731,True,True
fold_2022,LABEL_5D,2017-07-04,2020-12-31,2021-01-01,2021-12-31,2022-01-01,2022-12-31,179726,177769,True,True
fold_2023,LABEL_5D,2017-07-04,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,256865,254588,True,True
fold_2024,LABEL_5D,2017-07-04,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,334991,332607,True,True
fold_2025,LABEL_5D,2017-07-04,2023-12-31,2024-01-01,2024-12-31,2025-01-01,2025-12-31,408841,406438,True,True
fold_2021,LABEL_10D,2017-07-04,2019-12-31,2020-01-01,2020-12-31,2021-01-01,2021-12-31,116360,114571,True,True
fold_2022,LABEL_10D,2017-07-04,2020-12-31,2021-01-01,2021-12-31,2022-01-01,2022-12-31,179726,177582,True,True
fold_2023,LABEL_10D,2017-07-04,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,256865,254367,True,True
fold_2024,LABEL_10D,2017-07-04,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,334991,332363,True,True
fold_2025,LABEL_10D,2017-07-04,2023-12-31,2024-01-01,2024-12-31,2025-01-01,2025-12-31,408841,406193,True,True
