field_name,used_in_feature,used_in_label,used_in_execution,observed_after_signal_date,allowed_role,pass
open,True,False,True,False,asof_or_execution_only,True
high,True,False,False,False,asof_or_execution_only,True
low,True,False,False,False,asof_or_execution_only,True
close,True,True,True,False,asof_or_execution_only,True
volume,True,False,True,False,asof_or_execution_only,True
money,True,False,True,False,asof_or_execution_only,True
factor,False,False,False,False,asof_or_execution_only,True
