population_id,rule_arm_id,input_denominator_id,denominator_id,split,readout_only_flag,threshold_id,capacity_id,post_dedup_sample_n,post_dedup_fast_fail_positive_n,post_dedup_fast_fail_winner_n,post_dedup_winner_n,random_rejected_fast_fail_positive_n,random_rejected_fast_fail_winner_n,random_rejected_fast_fail_non_winner_n,rule_baseline_rejected_fast_fail_positive_n,rule_baseline_rejected_fast_fail_winner_n,rule_baseline_rejected_fast_fail_non_winner_n,rule_baseline_status,capture_lift_power_status,winner_injury_power_status,fast_fail_ml_supported_gate_allowed
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,keep_9000,keep_9000,2996,195,12,622,15,0,15,44,3,41,pass,pass,fail_low_count,False
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,keep_9250,keep_9250,2996,195,12,622,15,0,15,36,2,34,pass,pass,fail_low_count,False
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,keep_9300,keep_9300,2996,195,12,622,17,2,15,35,2,33,pass,pass,fail_low_count,False
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,keep_9400,keep_9400,2996,195,12,622,18,1,17,27,2,25,pass,pass,fail_low_count,False
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,keep_9500,keep_9500,2996,195,12,622,12,0,12,20,2,18,pass,pass,fail_low_count,False
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,keep_9600,keep_9600,2996,195,12,622,8,0,8,16,2,14,pass,fail_low_count,fail_low_count,False
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,keep_9700,keep_9700,2996,195,12,622,5,1,4,13,2,11,pass,fail_low_count,fail_low_count,False
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,keep_9000,keep_9000,4794,426,46,878,39,7,32,62,6,56,pass,pass,pass,False
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,keep_9250,keep_9250,4794,426,46,878,31,3,28,44,4,40,pass,pass,pass,False
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,keep_9300,keep_9300,4794,426,46,878,32,3,29,42,3,39,pass,pass,pass,False
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,keep_9400,keep_9400,4794,426,46,878,21,4,17,35,3,32,pass,pass,pass,False
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,keep_9500,keep_9500,4794,426,46,878,18,2,16,26,2,24,pass,pass,fail_low_count,False
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,keep_9600,keep_9600,4794,426,46,878,19,3,16,20,2,18,pass,pass,fail_low_count,False
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,keep_9700,keep_9700,4794,426,46,878,14,2,12,16,1,15,pass,pass,fail_low_count,False
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,validation,True,keep_9000,keep_9000,1440,120,2,107,13,0,13,20,0,20,pass,pass,fail_low_count,False
