population_id,rule_arm_id,input_denominator_id,denominator_id,split,readout_only_flag,admitted_event_n,horizon_complete_10d_n,horizon_complete_20d_n,horizon_complete_120d_n,selected_fast_fail_10_label_nonnull_n,frozen_false_repair_20d_label_nonnull_n,selected_cost_bad_10_20_target_nonnull_n,winner_120_nonnull_n,E1_missed_winner_flag_nonnull_n,e1_missed_proxy_status,e1_status_episode_level_proxy_from_08_membership_n,e1_status_no_episode_membership_for_event_n,e1_status_episode_membership_proxy_input_blocked_n,label_coverage_status
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,2996,2996,2996,2994,2996,2996,2996,2996,2996,mixed_non_blocking,1096,1900,0,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,4794,4794,4794,4794,4794,4794,4794,4794,4794,mixed_non_blocking,1854,2940,0,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,validation,True,1440,1440,1440,1440,1440,1440,1440,1440,1440,mixed_non_blocking,392,1048,0,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,robustness,False,9705,9705,9705,9699,9705,9705,9705,9705,9705,mixed_non_blocking,3693,6012,0,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,train,False,16557,16557,16557,16557,16557,16557,16557,16557,16557,mixed_non_blocking,6697,9860,0,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,4449,4449,4449,4449,4449,4449,4449,4449,4449,mixed_non_blocking,1286,3163,0,pass
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,2996,2996,2996,2994,2996,2996,2996,2996,2996,mixed_non_blocking,1096,1900,0,pass
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,4794,4794,4794,4794,4794,4794,4794,4794,4794,mixed_non_blocking,1854,2940,0,pass
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,validation,True,1440,1440,1440,1440,1440,1440,1440,1440,1440,mixed_non_blocking,392,1048,0,pass
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,robustness,False,4970,4970,4970,4967,4970,4970,4970,4970,4970,mixed_non_blocking,1753,3217,0,pass
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,train,False,8318,8318,8318,8318,8318,8318,8318,8318,8318,mixed_non_blocking,3052,5266,0,pass
