population_id,rule_arm_id,input_denominator_id,denominator_id,split,readout_only_flag,instrument,event_day_n,admitted_event_n,suppressed_event_n,formal_event_day_density,p50_density,p95_density,max_density,rolling_10d_executable_event_day_density,rolling_20d_executable_event_day_density,density_audit_status
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600000,4,4,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600009,1,1,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600010,7,7,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600011,3,3,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600012,1,1,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600015,6,6,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600016,4,4,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600018,3,3,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600019,5,5,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600021,5,5,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600023,5,5,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600025,3,3,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600026,5,5,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600027,4,4,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600028,5,5,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600029,3,3,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600030,4,4,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600031,7,7,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600036,7,7,0,1.0,1.0,1.0,1.0,0.1,0.1,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600038,3,3,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600039,4,4,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600048,4,4,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600050,3,3,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600060,3,3,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600061,1,1,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600066,6,6,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600085,4,4,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600089,5,5,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600095,3,3,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600096,7,7,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600100,1,1,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600104,5,5,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600111,7,7,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600118,5,5,0,1.0,1.0,1.0,1.0,0.1,0.1,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600126,2,2,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600132,6,6,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600141,1,1,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600143,4,4,0,1.0,1.0,1.0,1.0,0.1,0.1,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600153,6,6,0,1.0,1.0,1.0,1.0,0.1,0.1,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600160,8,8,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600161,3,3,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600171,2,2,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600176,6,6,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600177,4,4,0,1.0,1.0,1.0,1.0,0.1,0.1,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600183,11,11,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600188,6,6,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
10A__same_family_dedup_10d,same_family_dedup_10d,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,SH600196,4,4,0,1.0,1.0,1.0,1.0,0.1,0.05,pass
