episode_id,instrument,episode_low_date,episode_high_date,episode_mfe_120,market_regime_bucket,split,duration_bucket,matching_11a2_winner_row_n_pre120_to_high,matching_11a2_row_ids,matching_11a2_event_t0_dates,matching_11a2_event_minus_low_days,matching_11a2_mfe_120d_frozen
SH600009_20210802_0002,SH600009,2021-08-02,2022-01-21,0.5118748253702152,risk_on,train,long,0,,,,
SH600010_20250929_0005,SH600010,2025-09-29,2026-03-02,0.5088495575221241,risk_on,robustness,long,0,,,,
SH600011_20211129_0002,SH600011,2021-11-29,2021-12-24,0.9038461538461536,risk_on,train,fast,0,,,,
SH600019_20201215_0000,SH600019,2020-12-15,2021-03-15,0.6402714932126696,risk_on,train,medium,2,186;187,2020-10-16;2020-11-12,-60;-33,0.826196;0.51357
SH600019_20210618_0001,SH600019,2021-06-18,2021-09-13,0.7413479052823315,risk_on,train,medium,0,,,,
SH600025_20210531_0001,SH600025,2021-05-31,2021-10-08,0.7286324786324787,risk_on,train,long,2,264;265,2021-06-16;2021-08-16,16;77,0.567829;0.586275
SH600026_20210802_0002,SH600026,2021-08-02,2021-10-08,0.5305676855895196,risk_on,train,medium,0,,,,
SH600027_20211115_0002,SH600027,2021-11-15,2021-12-27,0.5890410958904109,risk_on,train,fast,0,,,,
SH600028_20250923_0001,SH600028,2025-09-23,2026-03-04,0.5388994307400379,risk_on,robustness,long,0,,,,
SH600030_20240415_0002,SH600030,2024-04-15,2024-10-09,0.9542124542124542,risk_on,robustness,long,0,,,,
SH600031_20200812_0000,SH600031,2020-08-12,2021-01-13,1.463605823068309,risk_on,train,long,6,384;385;386;387;388;389,2020-07-17;2020-08-24;2020-10-12;2020-11-05;2020-11-20;2020-12-16,-26;12;61;85;100;126,1.35546;1.26527;0.833131;0.864086;0.729461;0.561767
SH600048_20210802_0000,SH600048,2021-08-02,2022-01-11,0.8635794743429286,risk_on,train,long,0,,,,
SH600061_20240412_0000,SH600061,2024-04-12,2024-10-08,0.5303292894280764,risk_on,robustness,long,0,,,,
SH600085_20201225_0000,SH600085,2020-12-25,2021-05-28,0.9223744292237446,risk_on,train,long,0,,,,
SH600085_20210922_0001,SH600085,2021-09-22,2022-01-07,0.8018480492813143,risk_on,train,medium,0,,,,
SH600085_20230106_0003,SH600085,2023-01-06,2023-05-08,0.5431012817290777,risk_on,validation,medium,0,,,,
SH600089_20200908_0001,SH600089,2020-09-08,2021-02-22,0.8695652173913044,risk_on,train,long,0,,,,
SH600096_20210709_0000,SH600096,2021-07-09,2021-09-14,2.0821501014198787,risk_on,train,medium,0,,,,
SH600096_20250923_0003,SH600096,2025-09-23,2026-02-27,0.8216797683078196,risk_on,robustness,long,2,678;679,2025-10-09;2025-10-29,16;36,0.614595;0.530946
SH600104_20200617_0000,SH600104,2020-06-17,2020-11-06,0.7126436781609196,risk_on,train,long,0,,,,
SH600132_20190311_0001,SH600132,2019-03-11,2019-07-01,0.5739396255254106,risk_on,train,medium,0,,,,
SH600132_20200812_0004,SH600132,2020-08-12,2021-01-22,1.165106833833657,risk_on,train,long,5,810;811;812;813;814,2020-10-20;2020-11-20;2020-12-07;2020-12-31;2021-01-20,69;100;117;141;161,0.557925;0.652;0.607845;0.727892;0.61912
SH600153_20220822_0002,SH600153,2022-08-22,2022-11-30,0.5385556915544676,risk_on,validation,medium,0,,,,
SH600183_20250304_0003,SH600183,2025-03-04,2025-08-26,0.9400778210116733,risk_on,robustness,long,5,1065;1066;1067;1068;1069,2025-03-14;2025-05-12;2025-06-11;2025-07-09;2025-08-06,10;69;99;127;155,0.808716;1.79867;1.58728;1.27488;0.895875
SH600188_20210520_0000,SH600188,2021-05-20,2021-09-17,2.192037470725996,risk_on,train,long,5,1076;1077;1078;1079;1080,2021-03-01;2021-06-09;2021-07-14;2021-08-05;2021-08-27,-80;20;55;77;99,0.859008;1.56203;1.24917;1.21266;0.762581
SH600188_20250904_0004,SH600188,2025-09-04,2026-03-09,0.7036144578313255,risk_on,robustness,long,3,1091;1092;1093,2025-09-15;2025-10-10;2025-11-06,11;36;63,0.722474;0.664723;0.517685
SH600196_20191028_0001,SH600196,2019-10-28,2020-04-23,0.6001753616834722,risk_on,train,long,1,1103,2020-02-25,120,1.73348
SH600196_20200528_0002,SH600196,2020-05-28,2020-08-06,1.6615712762175616,risk_on,train,medium,2,1103;1104,2020-02-25;2020-07-14,-93;47,1.73348;0.995469
SH600219_20250923_0003,SH600219,2025-09-23,2026-01-29,1.3717579250720462,risk_on,robustness,long,1,1193,2025-10-29,36,0.913953
SH600236_20250919_0002,SH600236,2025-09-19,2026-03-05,0.9320388349514565,risk_on,robustness,long,1,1249,2025-10-10,21,0.730435
SH600256_20211201_0001,SH600256,2021-12-01,2022-05-27,0.9240196078431372,risk_on,train,long,0,,,,
SH600276_20250324_0004,SH600276,2025-03-24,2025-09-09,0.6812585499316004,risk_on,robustness,long,1,1343,2025-03-27,3,0.53561
SH600298_20191210_0001,SH600298,2019-12-10,2020-06-10,0.6075413620623318,risk_on,train,long,0,,,,
SH600298_20201126_0002,SH600298,2020-11-26,2021-05-26,0.533561979421852,risk_on,train,long,0,,,,
