row_id,instrument,event_t0_date,11a2_mfe_120d_frozen,11a2_mfe_120_recomputed,11a2_basis_status,nearest_any_matched_06_episode_id,nearest_any_matched_06_episode_low_date,nearest_any_matched_06_episode_high_date,nearest_any_matched_06_market_regime_bucket,nearest_any_matched_06_split,nearest_any_matched_06_duration_bucket,nearest_any_matched_06_mfe_120,nearest_any_matched_06_cluster_union_start_date,nearest_any_matched_06_cluster_union_end_date,nearest_any_event_minus_episode_low_days,nearest_any_abs_event_minus_episode_low_days,nearest_any_event_vs_06_episode_window,nearest_any_event_inside_06_cluster_union,nearest_any_event_within_120_calendar_days_before_low_to_high,nearest_risk_on_matched_06_episode_id,nearest_risk_on_matched_06_episode_low_date,nearest_risk_on_matched_06_episode_high_date,nearest_risk_on_matched_06_market_regime_bucket,nearest_risk_on_matched_06_split,nearest_risk_on_matched_06_duration_bucket,nearest_risk_on_matched_06_mfe_120,nearest_risk_on_matched_06_cluster_union_start_date,nearest_risk_on_matched_06_cluster_union_end_date,nearest_risk_on_event_minus_episode_low_days,nearest_risk_on_abs_event_minus_episode_low_days,nearest_risk_on_event_vs_06_episode_window,nearest_risk_on_event_inside_06_cluster_union,nearest_risk_on_event_within_120_calendar_days_before_low_to_high
0,SH600000,2024-04-15,0.5758468335787923,0.5758468335787923,ok,SH600000_20250407_0000,2025-04-07,2025-07-07,risk_off,robustness,medium,0.5642701525054465,2025-04-07,2025-07-07,-357.0,357.0,before_episode_low,False,False,,,,,,,,,,,,,,
90,SH600010,2025-03-14,0.573684210526316,0.573684210526316,ok,SH600010_20250407_0004,2025-04-07,2025-08-25,risk_off,robustness,long,0.845679012345679,2025-04-07,2025-10-14,-24.0,24.0,before_episode_low,False,True,SH600010_20250929_0005,2025-09-29,2026-03-02,risk_on,robustness,long,0.5088495575221241,2025-09-29,2026-03-02,-199.0,199.0,before_episode_low,False,False
186,SH600019,2020-10-16,0.8261964735516372,0.8261964735516372,ok,SH600019_20201215_0000,2020-12-15,2021-03-15,risk_on,train,medium,0.6402714932126696,2020-12-15,2021-03-15,-60.0,60.0,before_episode_low,False,True,SH600019_20201215_0000,2020-12-15,2021-03-15,risk_on,train,medium,0.6402714932126696,2020-12-15,2021-03-15,-60.0,60.0,before_episode_low,False,True
187,SH600019,2020-11-12,0.5135699373695197,0.5135699373695197,ok,SH600019_20201215_0000,2020-12-15,2021-03-15,risk_on,train,medium,0.6402714932126696,2020-12-15,2021-03-15,-33.0,33.0,before_episode_low,False,True,SH600019_20201215_0000,2020-12-15,2021-03-15,risk_on,train,medium,0.6402714932126696,2020-12-15,2021-03-15,-33.0,33.0,before_episode_low,False,True
264,SH600025,2021-06-16,0.567829457364341,0.567829457364341,ok,SH600025_20210531_0001,2021-05-31,2021-10-08,risk_on,train,long,0.7286324786324787,2021-05-31,2021-10-08,16.0,16.0,inside_low_to_high_window,True,True,SH600025_20210531_0001,2021-05-31,2021-10-08,risk_on,train,long,0.7286324786324787,2021-05-31,2021-10-08,16.0,16.0,inside_low_to_high_window,True,True
265,SH600025,2021-08-16,0.5862745098039217,0.5862745098039217,ok,SH600025_20210531_0001,2021-05-31,2021-10-08,risk_on,train,long,0.7286324786324787,2021-05-31,2021-10-08,77.0,77.0,inside_low_to_high_window,True,True,SH600025_20210531_0001,2021-05-31,2021-10-08,risk_on,train,long,0.7286324786324787,2021-05-31,2021-10-08,77.0,77.0,inside_low_to_high_window,True,True
302,SH600026,2025-09-05,1.305363321799308,1.305363321799308,ok,SH600026_20231215_0004,2023-12-15,2024-06-07,risk_off,validation,long,0.6209453197405004,2023-12-15,2024-06-07,630.0,630.0,after_episode_high,False,False,SH600026_20210802_0002,2021-08-02,2021-10-08,risk_on,train,medium,0.5305676855895196,2021-08-02,2021-10-08,1495.0,1495.0,after_episode_high,False,False
303,SH600026,2025-10-13,1.120999219359875,1.120999219359875,ok,SH600026_20231215_0004,2023-12-15,2024-06-07,risk_off,validation,long,0.6209453197405004,2023-12-15,2024-06-07,668.0,668.0,after_episode_high,False,False,SH600026_20210802_0002,2021-08-02,2021-10-08,risk_on,train,medium,0.5305676855895196,2021-08-02,2021-10-08,1533.0,1533.0,after_episode_high,False,False
304,SH600026,2025-10-30,1.0413223140495869,1.0413223140495869,ok,SH600026_20231215_0004,2023-12-15,2024-06-07,risk_off,validation,long,0.6209453197405004,2023-12-15,2024-06-07,685.0,685.0,after_episode_high,False,False,SH600026_20210802_0002,2021-08-02,2021-10-08,risk_on,train,medium,0.5305676855895196,2021-08-02,2021-10-08,1550.0,1550.0,after_episode_high,False,False
305,SH600026,2025-11-14,1.0200743494423796,1.0200743494423796,ok,SH600026_20231215_0004,2023-12-15,2024-06-07,risk_off,validation,long,0.6209453197405004,2023-12-15,2024-06-07,700.0,700.0,after_episode_high,False,False,SH600026_20210802_0002,2021-08-02,2021-10-08,risk_on,train,medium,0.5305676855895196,2021-08-02,2021-10-08,1565.0,1565.0,after_episode_high,False,False
