record_source,record_unit,selection_rule,source_relative_path,instrument,episode_id,episode_low_date,episode_high_date,qfq_low_at_low_date,qfq_high_at_high_date,mfe_120,low_to_high_sessions,low_to_high_calendar_days,low_detection_window,forward_horizon_days,dedup_cluster_id,cluster_policy,primary_low_selection_policy,earliest_qualifying_low_date,earliest_qualifying_high_date,max_mfe_low_date,max_mfe_high_date,max_mfe_120,structural_low_date,structural_low_to_cluster_high_mfe,high_at_horizon_boundary,profile_start_date,profile_end_date,profile_pre_low_complete,profile_post_high_complete,lookback_60_complete,lookback_120_complete,lookback_250_complete,first_ema60_reclaim_date,first_ema60_reclaim_missing_reason,split,duration_bucket,board_bucket,total_market_cap_cny,liquidity_money_20d,prior_return_20d,prior_return_60d,prior_drawdown,volatility_20d,market_regime_bucket,benchmark_alias,cluster_member_count,cluster_union_start_date,cluster_union_end_date,market_cap_bucket,liquidity_bucket,prior_return_20d_bucket,prior_return_60d_bucket,prior_drawdown_bucket,volatility_bucket,low_matched_control_count,ema60_matched_control_count
06_topn_reverse_lifecycle,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SZ002001,SZ002001_20251022_0004,2025-10-22,2026-03-12,22.35,39.14,0.7512304250559283,93,141,20,120,SZ002001_cluster_0004,non_chain_direct_interval_overlap,earliest_qualifying_low,2025-10-22,2026-03-12,2025-10-22,2026-03-12,0.7512304250559283,2025-10-22,0.7512304250559283,False,2024-10-11,2026-04-24,True,True,True,True,True,2025-10-27,not_missing,robustness,long,main_board,71518522493.6,565310408.45,-0.0447379633574774,0.0365233472029589,-0.0856443719412723,0.0255352363960749,risk_on,csi300,1,2025-10-22,2026-03-12,q4,q4,q5,q5,q5,q2,5,5
06_topn_reverse_lifecycle,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SZ002008,SZ002008_20251017_0000,2025-10-17,2026-04-16,34.38,86.55,1.5174520069808026,120,181,20,120,SZ002008_cluster_0000,non_chain_direct_interval_overlap,earliest_qualifying_low,2025-10-17,2026-04-16,2025-11-21,2026-05-14,3.488225157955198,2025-10-17,3.5456660849331003,True,2024-10-08,2026-05-29,True,False,True,True,True,2025-12-08,not_missing,robustness,long,main_board,37076018722.08,2043204565.2,-0.1156113816970006,0.3961958721165519,-0.2744479495268138,0.0648985507246376,risk_on,csi300,2,2025-10-17,2026-05-14,q3,q5,q3,q5,q2,q5,5,5
06_topn_reverse_lifecycle,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SZ002044,SZ002044_20201116_0002,2020-11-16,2021-02-23,11.32,20.0,0.7667844522968197,65,99,20,120,SZ002044_cluster_0002,non_chain_direct_interval_overlap,earliest_qualifying_low,2020-11-16,2021-02-23,2020-12-30,2021-02-23,0.9065776930409916,2020-12-30,0.9065776930409916,False,2019-11-05,2021-04-07,True,True,True,True,True,2021-01-14,not_missing,train,medium,main_board,46657906762.16,1095476516.05,-0.1451036454610436,-0.2406349206349205,-0.3624733475479744,0.074247491638796,risk_on,csi300,2,2020-11-16,2021-02-23,q4,q5,q2,q1,q1,q5,5,5
06_topn_reverse_lifecycle,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SZ002064,SZ002064_20250623_0003,2025-06-23,2025-11-14,6.37,10.49,0.6467817896389325,98,144,20,120,SZ002064_cluster_0003,non_chain_direct_interval_overlap,earliest_qualifying_low,2025-06-23,2025-11-14,2025-09-04,2026-01-22,0.891745602165088,2025-06-23,1.194662480376766,False,2024-06-04,2025-12-26,True,True,True,True,True,2025-07-03,not_missing,robustness,long,main_board,32355786208.44,149542005.4,-0.0743919885550787,-0.1841109709962168,-0.2109756097560975,0.0194744976816074,risk_on,csi300,3,2025-06-23,2026-01-22,q3,q2,q4,q2,q3,q1,5,5
06_topn_reverse_lifecycle,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SZ002074,SZ002074_20250804_0001,2025-08-04,2025-09-12,28.4,49.83,0.7545774647887324,29,39,20,120,SZ002074_cluster_0001,non_chain_direct_interval_overlap,earliest_qualifying_low,2025-08-04,2025-09-12,2025-08-04,2025-09-12,0.7545774647887324,2025-08-04,0.7545774647887324,False,2024-07-23,2025-11-03,True,True,True,True,True,,missing_event_absent,robustness,fast,main_board,51961066418.3,2012698238.4,-0.0408836135839102,0.2549611734253667,-0.153868528214078,0.0321760055001718,risk_on,csi300,1,2025-08-04,2025-09-12,q4,q5,q5,q5,q4,q2,5,0
06_topn_reverse_lifecycle,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SZ002075,SZ002075_20200727_0000,2020-07-27,2020-11-18,9.62,15.84,0.6465696465696467,76,114,20,120,SZ002075_cluster_0000,non_chain_direct_interval_overlap,earliest_qualifying_low,2020-07-27,2020-11-18,2020-07-27,2020-11-18,0.6465696465696467,2020-07-27,0.6465696465696467,False,2019-07-16,2021-01-06,True,True,True,True,True,2020-08-18,not_missing,train,medium,main_board,23590390242.68,984403086.3,-0.1791907514450866,-0.1226831421006179,-0.2869440459110474,0.0570925553319919,risk_on,csi300,1,2020-07-27,2020-11-18,q2,q5,q1,q3,q2,q5,5,4
06_topn_reverse_lifecycle,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SZ002080,SZ002080_20251017_0005,2025-10-17,2026-02-26,28.95,53.27,0.8400690846286702,86,132,20,120,SZ002080_cluster_0005,non_chain_direct_interval_overlap,earliest_qualifying_low,2025-10-17,2026-02-26,2025-11-24,2026-05-26,1.618591934381408,2025-10-17,1.646632124352332,False,2024-10-08,2026-04-10,True,True,True,True,True,2025-10-22,not_missing,robustness,long,main_board,51014956953.6,1125015641.0,-0.1949058693244739,0.095291902071563,-0.2775155279503106,0.0596629986244841,risk_on,csi300,2,2025-10-17,2026-05-26,q4,q5,q1,q5,q2,q5,5,5
06_topn_reverse_lifecycle,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SZ002129,SZ002129_20250623_0004,2025-06-23,2025-11-14,7.11,11.52,0.620253164556962,98,144,20,120,SZ002129_cluster_0004,non_chain_direct_interval_overlap,earliest_qualifying_low,2025-06-23,2025-11-14,2025-06-23,2025-11-14,0.620253164556962,2025-06-23,0.6680731364275667,False,2024-06-11,2025-12-26,True,True,True,True,True,2025-07-02,not_missing,robustness,long,main_board,29272158196.52,247601365.0,-0.0483028720626631,-0.2024070021881838,-0.2530737704918032,0.0186556927297667,risk_on,csi300,2,2025-06-23,2026-02-10,q3,q3,q5,q2,q2,q1,5,5
06_topn_reverse_lifecycle,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SZ002145,SZ002145_20210616_0000,2021-06-16,2021-08-09,7.83,13.79,0.7611749680715196,38,54,20,120,SZ002145_cluster_0000,non_chain_direct_interval_overlap,earliest_qualifying_low,2021-06-16,2021-08-09,2021-06-16,2021-08-09,0.7611749680715196,2021-06-16,0.7611749680715196,False,2020-06-04,2021-09-22,True,True,True,True,True,,missing_event_absent,train,fast,main_board,26184334842.75,687934284.5,-0.1116022099447515,0.1635311143270621,-0.1536842105263158,0.0591417910447761,risk_on,csi300,1,2021-06-16,2021-08-09,q2,q4,q3,q5,q4,q5,5,0
06_topn_reverse_lifecycle,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SZ002152,SZ002152_20210204_0003,2021-02-04,2021-05-10,7.51,12.51,0.6657789613848202,58,95,20,120,SZ002152_cluster_0003,non_chain_direct_interval_overlap,earliest_qualifying_low,2021-02-04,2021-05-10,2021-02-04,2021-05-10,0.6657789613848202,2021-02-04,0.6657789613848202,False,2020-02-03,2021-06-22,True,True,True,True,True,2021-03-03,not_missing,train,medium,main_board,21175056829.29,218920627.75,-0.1409395973154362,-0.2678741658722593,-0.2954128440366973,0.044140625,risk_on,csi300,2,2021-02-04,2021-05-10,q2,q3,q2,q1,q2,q4,5,5
