feature_name,feature_family,model_id,cv_scheme,fold_n,mean_abs_coef_or_importance,median_rank,rank_iqr,sign_consistency_fold_share,selected_in_top_decile_fold_share,collinearity_caveat,rank_stability_status
ret_5d,qfq_rolling_market_state,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.18830048816345668,13.0,1.0,1.0,0.0,,pass
ret_10d,qfq_rolling_market_state,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.1422713216071247,17.0,1.0,1.0,0.0,,pass
ret_20d,qfq_rolling_market_state,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.19139698564139737,12.0,2.0,1.0,0.0,,pass
ret_60d,qfq_rolling_market_state,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.17328107176317636,11.0,5.0,1.0,0.0,,pass
volatility_20d,qfq_rolling_market_state,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.08316705158158692,22.0,1.0,1.0,0.0,,pass
volatility_60d,qfq_rolling_market_state,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.24016607167354204,9.0,3.0,1.0,0.0,,pass
distance_to_20d_high,qfq_rolling_market_state,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.16098083443225158,15.0,2.0,1.0,0.0,,pass
distance_to_60d_high,qfq_rolling_market_state,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.02877441941064,25.0,1.0,0.8,0.0,,pass
distance_to_20d_low,qfq_rolling_market_state,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.4968170595631555,1.0,1.0,1.0,1.0,,pass
distance_to_60d_low,qfq_rolling_market_state,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.3056125421343944,6.0,1.0,1.0,0.0,,pass
max_drawdown_20d,qfq_rolling_market_state,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.21272963341178514,10.0,2.0,1.0,0.0,,pass
max_drawdown_60d,qfq_rolling_market_state,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.09544454813913694,21.0,8.0,1.0,0.0,,pass
ma_5_20_spread,qfq_rolling_market_state,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.019423171872869387,26.0,1.0,0.8,0.0,,pass
ma_20_60_spread,qfq_rolling_market_state,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.3551143014285868,5.0,1.0,1.0,0.0,,pass
turnover_rate_20d_mean,qfq_rolling_market_state,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.2267011145376842,10.0,4.0,1.0,0.0,,pass
turnover_rate_60d_mean,qfq_rolling_market_state,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.041590370329943,24.0,2.0,1.0,0.0,,pass
turnover_rate_20d_zscore,qfq_rolling_market_state,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.3100777687873556,8.0,8.0,0.8,0.2,,pass
volume_20d_zscore,qfq_rolling_market_state,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.15961582239817487,14.0,12.0,0.6,0.0,,pass
money_20d_zscore,qfq_rolling_market_state,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.22095062957247585,8.0,10.0,1.0,0.0,,pass
intraday_range_20d_mean,qfq_rolling_market_state,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.47506983809219105,2.0,0.0,1.0,1.0,,pass
log_total_market_cap_cny,pit_membership_context,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.1203312493981046,19.0,1.0,1.0,0.0,,pass
board_rank_pct,pit_membership_context,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.09620286206571106,21.0,1.0,1.0,0.0,,pass
history_observed_sessions_before_usable_date,pit_membership_context,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.4244529420013022,3.0,2.0,1.0,0.6,history_depth_feature_pair,pass
history_ready_240d_flag,pit_membership_context,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.4284429740939957,4.0,0.0,1.0,0.2,history_depth_feature_pair,pass
board_bucket_chinext,pit_membership_context,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.14448124483454922,17.5,2.0,1.0,0.0,,pass
board_bucket_main_board,pit_membership_context,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.14448124483454922,17.5,2.0,1.0,0.0,,pass
board_bucket_unknown_train_unseen,pit_membership_context,ridge_logistic_bar_state_v1,episode_cluster_grouped_cv,5,0.0,27.0,0.0,0.0,0.0,,pass
ret_5d,qfq_rolling_market_state,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.19276876639010623,13.0,2.0,1.0,0.0,,pass
ret_10d,qfq_rolling_market_state,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.15904377287665147,20.0,7.0,0.8,0.0,,pass
