feature_name,feature_family,source_artifact,source_columns,formula_id,lookback_sessions,as_of_policy,allowed_primary_model_feature,allowed_secondary_readout,forbidden_as_model_feature,forbidden_reason,missing_policy,train_fit_only_preprocessing
ret_5d,qfq_rolling_market_state,qfq_daily,close/high/low/volume/money/turnover_rate,ret_5d,20.0,qfq_position_le_step_start_pos,True,True,False,,train_median_impute_then_robust_scale,True
ret_10d,qfq_rolling_market_state,qfq_daily,close/high/low/volume/money/turnover_rate,ret_10d,20.0,qfq_position_le_step_start_pos,True,True,False,,train_median_impute_then_robust_scale,True
ret_20d,qfq_rolling_market_state,qfq_daily,close/high/low/volume/money/turnover_rate,ret_20d,20.0,qfq_position_le_step_start_pos,True,True,False,,train_median_impute_then_robust_scale,True
ret_60d,qfq_rolling_market_state,qfq_daily,close/high/low/volume/money/turnover_rate,ret_60d,60.0,qfq_position_le_step_start_pos,True,True,False,,train_median_impute_then_robust_scale,True
volatility_20d,qfq_rolling_market_state,qfq_daily,close/high/low/volume/money/turnover_rate,volatility_20d,20.0,qfq_position_le_step_start_pos,True,True,False,,train_median_impute_then_robust_scale,True
volatility_60d,qfq_rolling_market_state,qfq_daily,close/high/low/volume/money/turnover_rate,volatility_60d,60.0,qfq_position_le_step_start_pos,True,True,False,,train_median_impute_then_robust_scale,True
distance_to_20d_high,qfq_rolling_market_state,qfq_daily,close/high/low/volume/money/turnover_rate,distance_to_20d_high,20.0,qfq_position_le_step_start_pos,True,True,False,,train_median_impute_then_robust_scale,True
distance_to_60d_high,qfq_rolling_market_state,qfq_daily,close/high/low/volume/money/turnover_rate,distance_to_60d_high,60.0,qfq_position_le_step_start_pos,True,True,False,,train_median_impute_then_robust_scale,True
distance_to_20d_low,qfq_rolling_market_state,qfq_daily,close/high/low/volume/money/turnover_rate,distance_to_20d_low,20.0,qfq_position_le_step_start_pos,True,True,False,,train_median_impute_then_robust_scale,True
distance_to_60d_low,qfq_rolling_market_state,qfq_daily,close/high/low/volume/money/turnover_rate,distance_to_60d_low,60.0,qfq_position_le_step_start_pos,True,True,False,,train_median_impute_then_robust_scale,True
