cv_scheme,model_id,fold_id,train_binary_step_n,test_binary_step_n,train_episode_cluster_n,test_episode_cluster_n,test_positive_n,test_negative_n,purged_train_row_n,purge_rule_status,roc_auc,average_precision,binary_positive_rate,pr_auc_lift_vs_binary_base,rank_ic_spearman,fold_status
episode_cluster_grouped_cv,intercept_only_baseline,0,11998,2964,521,131,1953,1011,0,pass,0.5,0.6589068825910931,0.6589068825910931,0.0,,pass
episode_cluster_grouped_cv,ridge_logistic_bar_state_v1,0,11998,2964,521,131,1953,1011,0,pass,0.6893617215240647,0.7984674983629785,0.6589068825910931,0.1395606157718854,0.31097919933663226,pass
episode_cluster_grouped_cv,single_depth2_tree_bar_state_v1,0,11998,2964,521,131,1953,1011,0,pass,0.6445588541405523,0.742565945540052,0.6589068825910931,0.08365906294895886,0.2525275504950215,pass
episode_cluster_grouped_cv,intercept_only_baseline,1,12278,2684,521,131,1821,863,0,pass,0.5,0.6784649776453056,0.6784649776453056,0.0,,pass
episode_cluster_grouped_cv,ridge_logistic_bar_state_v1,1,12278,2684,521,131,1821,863,0,pass,0.6674518922090228,0.7941349743189223,0.6784649776453056,0.11566999667361677,0.27093092008098996,pass
episode_cluster_grouped_cv,single_depth2_tree_bar_state_v1,1,12278,2684,521,131,1821,863,0,pass,0.6360406433758844,0.7521161309754183,0.6784649776453056,0.07365115333011274,0.23721077945479205,pass
episode_cluster_grouped_cv,intercept_only_baseline,2,11836,3126,522,130,2121,1005,0,pass,0.5,0.6785028790786948,0.6785028790786948,0.0,,pass
episode_cluster_grouped_cv,ridge_logistic_bar_state_v1,2,11836,3126,522,130,2121,1005,0,pass,0.6789597509857596,0.8009243690583523,0.6785028790786948,0.12242148997965752,0.28954122232806623,pass
episode_cluster_grouped_cv,single_depth2_tree_bar_state_v1,2,11836,3126,522,130,2121,1005,0,pass,0.6417530452405582,0.756850814634934,0.6785028790786948,0.0783479355562392,0.24575888587972503,pass
episode_cluster_grouped_cv,intercept_only_baseline,3,11773,3189,522,130,2160,1029,0,pass,0.5,0.6773283160865475,0.6773283160865475,0.0,,pass
episode_cluster_grouped_cv,ridge_logistic_bar_state_v1,3,11773,3189,522,130,2160,1029,0,pass,0.6699766943814564,0.793987777975063,0.6773283160865475,0.1166594618885155,0.27527075063588513,pass
episode_cluster_grouped_cv,single_depth2_tree_bar_state_v1,3,11773,3189,522,130,2160,1029,0,pass,0.6427910052910053,0.7575474926456075,0.6773283160865475,0.08021917655905997,0.2448334133155555,pass
episode_cluster_grouped_cv,intercept_only_baseline,4,11963,2999,522,130,2023,976,0,pass,0.5,0.6745581860620207,0.6745581860620207,0.0,,pass
episode_cluster_grouped_cv,ridge_logistic_bar_state_v1,4,11963,2999,522,130,2023,976,0,pass,0.6759712081553934,0.8057019318491973,0.6745581860620207,0.13114374578717658,0.2856134448485644,pass
episode_cluster_grouped_cv,single_depth2_tree_bar_state_v1,4,11963,2999,522,130,2023,976,0,pass,0.6436287509217766,0.7569900549689813,0.6745581860620207,0.08243186890696064,0.2468813214426678,pass
instrument_purged_chronological_cv,intercept_only_baseline,0,10965,3997,596,424,2472,1525,0,pass,0.5,0.6184638478859145,0.6184638478859145,0.0,,pass
instrument_purged_chronological_cv,ridge_logistic_bar_state_v1,0,10965,3997,596,424,2472,1525,0,pass,0.6410387818982439,0.7139847432800082,0.6184638478859145,0.0955208953940937,0.23733084847302238,pass
instrument_purged_chronological_cv,single_depth2_tree_bar_state_v1,0,10965,3997,596,424,2472,1525,0,pass,0.6341699824924398,0.6968221025551444,0.6184638478859145,0.07835825466922997,0.2417358625736648,pass
instrument_purged_chronological_cv,intercept_only_baseline,1,9641,5321,570,555,3647,1674,0,pass,0.5,0.6853974816763766,0.6853974816763766,0.0,,pass
instrument_purged_chronological_cv,ridge_logistic_bar_state_v1,1,9641,5321,570,555,3647,1674,0,pass,0.6465868249349148,0.7916413788358289,0.6853974816763766,0.10624389715945226,0.23579680619491486,pass
instrument_purged_chronological_cv,single_depth2_tree_bar_state_v1,1,9641,5321,570,555,3647,1674,0,pass,0.5767324348681541,0.7212313542419007,0.6853974816763766,0.03583387256552406,0.15407517970138376,pass
instrument_purged_chronological_cv,intercept_only_baseline,2,12251,2711,614,352,1860,851,0,pass,0.5,0.6860936923644412,0.6860936923644412,0.0,,pass
