artifact_key,resolved_path,row_count,sha256,schema_status,read_status,required_flag,lineage_role
requirement,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/requirement_16c_sequential_continuation_separability_diagnostic.md,,f44279ffce9142731571d44bf4af33a13d9bc075a831fb86502e23a6c66bd7da,pass,pass,required,requirement
source_plan,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/research_plan.md,,e7e5dfb5953d8e0440287980583054d73190a69ef659f99ce147b8389197910c,pass,pass,required,source_plan
stock_daily_qfq_dir,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,4597.0,,pass,pass,required,stock_daily_qfq_dir
pit_executable_daily,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_executable_daily.csv,1140000.0,e73968ddf54b646ab2d831467a0e2882970e5f96880df12c41bd01a39c243965,pass,pass,required,pit_executable_daily
pit_membership_daily,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_membership_daily.csv,1140500.0,982cc6930b27c4b255f019af5180ef835667280b841154af8c2ca9b0138a863b,pass,pass,required,pit_membership_daily
upstream_16a_requirement,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/requirement_16a_sequential_sampling_geometry_preflight.md,,88fd2a22084ec652fc06423aa3a7e4359fdac62824a083a419de689f2c91b538,pass,pass,required,upstream_16a_requirement
upstream_16a_sampling_geometry_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16A_sequential_sampling_geometry_preflight/sampling_geometry_decision.csv,1.0,10832d857e77a7dfc1dcbb627639147138b3bfcd4ae707dcdcc17a6304e1d3c9,pass,pass,required,upstream_16a_sampling_geometry_decision
upstream_16a_effective_sample_size_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16A_sequential_sampling_geometry_preflight/effective_sample_size_readout.csv,45.0,25c99abb7754c9f8ed3bdbabc141a4a074fed192d2f0b6dd6667236882bf9491,pass,pass,required,upstream_16a_effective_sample_size_readout
upstream_16a_horizon_grid_step_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16A_sequential_sampling_geometry_preflight/horizon_grid_step_readout.csv,45.0,c3a6ab975bce54190c536b0663066f095eecd058c38188ef1cc6be959732e80c,pass,pass,required,upstream_16a_horizon_grid_step_readout
upstream_16a_episode_cluster_non_overlap_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16A_sequential_sampling_geometry_preflight/episode_cluster_non_overlap_audit.csv,15.0,7d4ad84fad7852b4ae8a304304c2791d53d77894c0b34957354bc893102be1aa,pass,pass,required,upstream_16a_episode_cluster_non_overlap_audit
