threshold_id,horizon_sessions,cluster_split_bucket,known_failed_family,rule_closure_status,source_15b_anchor_n,joined_cluster_n,joined_anchor_n,missing_cluster_n,path_type_enum_status,recomputed_positive_step_n,recomputed_failed_family_positive_step_n,source_16b_positive_step_n,source_16b_failed_family_positive_step_n,count_delta_vs_16b,aggregate_rebuild_status,taxonomy_rebuild_source,source_key_duplicate_n,anchor_metric_cache_status,anchor_metric_cache_key_mismatch_n,taxonomy_cache_consistency_status,taxonomy_cache_mismatch_n,taxonomy_rebuild_status,known_failed_context_rebuild_gate,blocking_reason
up50pct,20,train,choppy_reversal_winner,pass,417131,2867,417131,0,pass,10078,110,10078,110,0,pass,15b_anchor_path_shape_feature_panel_cache_acceleration,0,pass,0,pass,0,pass,pass,
up50pct,20,train,late_rescue_winner,pass,417131,2867,417131,0,pass,10078,5066,10078,5066,0,pass,15b_anchor_path_shape_feature_panel_cache_acceleration,0,pass,0,pass,0,pass,pass,
up50pct,20,train,jump_repricing_winner,pass,417131,2867,417131,0,pass,10078,58,10078,58,0,pass,15b_anchor_path_shape_feature_panel_cache_acceleration,0,pass,0,pass,0,pass,pass,
up50pct,20,train,unclassified_mixed_path,pass,417131,2867,417131,0,pass,10078,2180,10078,2180,0,pass,15b_anchor_path_shape_feature_panel_cache_acceleration,0,pass,0,pass,0,pass,pass,
up50pct,20,robustness,choppy_reversal_winner,pass,417131,2867,417131,0,pass,1346,0,1346,0,0,pass,15b_anchor_path_shape_feature_panel_cache_acceleration,0,pass,0,pass,0,pass,pass,
up50pct,20,robustness,late_rescue_winner,pass,417131,2867,417131,0,pass,1346,214,1346,214,0,pass,15b_anchor_path_shape_feature_panel_cache_acceleration,0,pass,0,pass,0,pass,pass,
up50pct,20,robustness,jump_repricing_winner,pass,417131,2867,417131,0,pass,1346,68,1346,68,0,pass,15b_anchor_path_shape_feature_panel_cache_acceleration,0,pass,0,pass,0,pass,pass,
up50pct,20,robustness,unclassified_mixed_path,pass,417131,2867,417131,0,pass,1346,391,1346,391,0,pass,15b_anchor_path_shape_feature_panel_cache_acceleration,0,pass,0,pass,0,pass,pass,
up50pct,20,validation,choppy_reversal_winner,pass,417131,2867,417131,0,pass,325,0,325,0,0,pass,15b_anchor_path_shape_feature_panel_cache_acceleration,0,pass,0,pass,0,pass,pass,
up50pct,20,validation,late_rescue_winner,pass,417131,2867,417131,0,pass,325,222,325,222,0,pass,15b_anchor_path_shape_feature_panel_cache_acceleration,0,pass,0,pass,0,pass,pass,
up50pct,20,validation,jump_repricing_winner,pass,417131,2867,417131,0,pass,325,11,325,11,0,pass,15b_anchor_path_shape_feature_panel_cache_acceleration,0,pass,0,pass,0,pass,pass,
up50pct,20,validation,unclassified_mixed_path,pass,417131,2867,417131,0,pass,325,47,325,47,0,pass,15b_anchor_path_shape_feature_panel_cache_acceleration,0,pass,0,pass,0,pass,pass,
