split_bucket,feature_name,feature_family,row_n,missing_n,missing_rate,pit_context_missing_rate,feature_coverage_status
train,ret_5d,qfq_rolling_market_state,20245,0,0.0,0.0,pass
train,ret_10d,qfq_rolling_market_state,20245,0,0.0,0.0,pass
train,ret_20d,qfq_rolling_market_state,20245,0,0.0,0.0,pass
train,ret_60d,qfq_rolling_market_state,20245,0,0.0,0.0,pass
train,volatility_20d,qfq_rolling_market_state,20245,0,0.0,0.0,pass
train,volatility_60d,qfq_rolling_market_state,20245,0,0.0,0.0,pass
train,distance_to_20d_high,qfq_rolling_market_state,20245,0,0.0,0.0,pass
train,distance_to_60d_high,qfq_rolling_market_state,20245,0,0.0,0.0,pass
train,distance_to_20d_low,qfq_rolling_market_state,20245,0,0.0,0.0,pass
train,distance_to_60d_low,qfq_rolling_market_state,20245,0,0.0,0.0,pass
train,max_drawdown_20d,qfq_rolling_market_state,20245,0,0.0,0.0,pass
train,max_drawdown_60d,qfq_rolling_market_state,20245,0,0.0,0.0,pass
train,ma_5_20_spread,qfq_rolling_market_state,20245,0,0.0,0.0,pass
train,ma_20_60_spread,qfq_rolling_market_state,20245,0,0.0,0.0,pass
train,turnover_rate_20d_mean,qfq_rolling_market_state,20245,0,0.0,0.0,pass
train,turnover_rate_60d_mean,qfq_rolling_market_state,20245,0,0.0,0.0,pass
train,turnover_rate_20d_zscore,qfq_rolling_market_state,20245,0,0.0,0.0,pass
train,volume_20d_zscore,qfq_rolling_market_state,20245,0,0.0,0.0,pass
train,money_20d_zscore,qfq_rolling_market_state,20245,0,0.0,0.0,pass
train,intraday_range_20d_mean,qfq_rolling_market_state,20245,0,0.0,0.0,pass
train,log_total_market_cap_cny,pit_membership_context,20245,0,0.0,0.0,pass
train,board_rank_pct,pit_membership_context,20245,0,0.0,0.0,pass
train,history_observed_sessions_before_usable_date,pit_membership_context,20245,0,0.0,0.0,pass
train,history_ready_240d_flag,pit_membership_context,20245,0,0.0,0.0,pass
train,board_bucket_chinext,pit_membership_context,20245,0,0.0,0.0,pass
train,board_bucket_main_board,pit_membership_context,20245,0,0.0,0.0,pass
train,board_bucket_unknown_train_unseen,pit_membership_context,20245,0,0.0,0.0,pass
robustness,ret_5d,qfq_rolling_market_state,2496,0,0.0,0.0,pass
robustness,ret_10d,qfq_rolling_market_state,2496,0,0.0,0.0,pass
robustness,ret_20d,qfq_rolling_market_state,2496,0,0.0,0.0,pass
robustness,ret_60d,qfq_rolling_market_state,2496,0,0.0,0.0,pass
robustness,volatility_20d,qfq_rolling_market_state,2496,0,0.0,0.0,pass
robustness,volatility_60d,qfq_rolling_market_state,2496,0,0.0,0.0,pass
robustness,distance_to_20d_high,qfq_rolling_market_state,2496,0,0.0,0.0,pass
robustness,distance_to_60d_high,qfq_rolling_market_state,2496,0,0.0,0.0,pass
robustness,distance_to_20d_low,qfq_rolling_market_state,2496,0,0.0,0.0,pass
robustness,distance_to_60d_low,qfq_rolling_market_state,2496,0,0.0,0.0,pass
robustness,max_drawdown_20d,qfq_rolling_market_state,2496,0,0.0,0.0,pass
robustness,max_drawdown_60d,qfq_rolling_market_state,2496,0,0.0,0.0,pass
robustness,ma_5_20_spread,qfq_rolling_market_state,2496,0,0.0,0.0,pass
robustness,ma_20_60_spread,qfq_rolling_market_state,2496,0,0.0,0.0,pass
robustness,turnover_rate_20d_mean,qfq_rolling_market_state,2496,0,0.0,0.0,pass
robustness,turnover_rate_60d_mean,qfq_rolling_market_state,2496,0,0.0,0.0,pass
robustness,turnover_rate_20d_zscore,qfq_rolling_market_state,2496,0,0.0,0.0,pass
robustness,volume_20d_zscore,qfq_rolling_market_state,2496,0,0.0,0.0,pass
robustness,money_20d_zscore,qfq_rolling_market_state,2496,0,0.0,0.0,pass
robustness,intraday_range_20d_mean,qfq_rolling_market_state,2496,0,0.0,0.0,pass
robustness,log_total_market_cap_cny,pit_membership_context,2496,0,0.0,0.0,pass
robustness,board_rank_pct,pit_membership_context,2496,0,0.0,0.0,pass
robustness,history_observed_sessions_before_usable_date,pit_membership_context,2496,0,0.0,0.0,pass
robustness,history_ready_240d_flag,pit_membership_context,2496,0,0.0,0.0,pass
robustness,board_bucket_chinext,pit_membership_context,2496,0,0.0,0.0,pass
robustness,board_bucket_main_board,pit_membership_context,2496,0,0.0,0.0,pass
robustness,board_bucket_unknown_train_unseen,pit_membership_context,2496,0,0.0,0.0,pass
validation,ret_5d,qfq_rolling_market_state,664,0,0.0,0.0,pass
validation,ret_10d,qfq_rolling_market_state,664,0,0.0,0.0,pass
validation,ret_20d,qfq_rolling_market_state,664,0,0.0,0.0,pass
validation,ret_60d,qfq_rolling_market_state,664,0,0.0,0.0,pass
validation,volatility_20d,qfq_rolling_market_state,664,0,0.0,0.0,pass
validation,volatility_60d,qfq_rolling_market_state,664,0,0.0,0.0,pass
validation,distance_to_20d_high,qfq_rolling_market_state,664,0,0.0,0.0,pass
validation,distance_to_60d_high,qfq_rolling_market_state,664,0,0.0,0.0,pass
validation,distance_to_20d_low,qfq_rolling_market_state,664,0,0.0,0.0,pass
validation,distance_to_60d_low,qfq_rolling_market_state,664,0,0.0,0.0,pass
validation,max_drawdown_20d,qfq_rolling_market_state,664,0,0.0,0.0,pass
validation,max_drawdown_60d,qfq_rolling_market_state,664,0,0.0,0.0,pass
validation,ma_5_20_spread,qfq_rolling_market_state,664,0,0.0,0.0,pass
validation,ma_20_60_spread,qfq_rolling_market_state,664,0,0.0,0.0,pass
validation,turnover_rate_20d_mean,qfq_rolling_market_state,664,0,0.0,0.0,pass
validation,turnover_rate_60d_mean,qfq_rolling_market_state,664,0,0.0,0.0,pass
validation,turnover_rate_20d_zscore,qfq_rolling_market_state,664,0,0.0,0.0,pass
validation,volume_20d_zscore,qfq_rolling_market_state,664,0,0.0,0.0,pass
validation,money_20d_zscore,qfq_rolling_market_state,664,0,0.0,0.0,pass
validation,intraday_range_20d_mean,qfq_rolling_market_state,664,0,0.0,0.0,pass
validation,log_total_market_cap_cny,pit_membership_context,664,0,0.0,0.0,pass
validation,board_rank_pct,pit_membership_context,664,0,0.0,0.0,pass
validation,history_observed_sessions_before_usable_date,pit_membership_context,664,0,0.0,0.0,pass
validation,history_ready_240d_flag,pit_membership_context,664,0,0.0,0.0,pass
validation,board_bucket_chinext,pit_membership_context,664,0,0.0,0.0,pass
validation,board_bucket_main_board,pit_membership_context,664,0,0.0,0.0,pass
validation,board_bucket_unknown_train_unseen,pit_membership_context,664,0,0.0,0.0,pass
