feature_name,max_source_pos_minus_step_start_pos,max_source_date_minus_step_start_date,uses_step_end_field,uses_cluster_end_field,uses_label_field,uses_path_taxonomy_field,uses_split_or_identity_field,uses_validation_or_robustness_fit,leakage_status,blocking_reason
ret_5d,0.0,0.0,False,False,False,False,False,False,pass,
ret_10d,0.0,0.0,False,False,False,False,False,False,pass,
ret_20d,0.0,0.0,False,False,False,False,False,False,pass,
ret_60d,0.0,0.0,False,False,False,False,False,False,pass,
volatility_20d,0.0,0.0,False,False,False,False,False,False,pass,
volatility_60d,0.0,0.0,False,False,False,False,False,False,pass,
distance_to_20d_high,0.0,0.0,False,False,False,False,False,False,pass,
distance_to_60d_high,0.0,0.0,False,False,False,False,False,False,pass,
distance_to_20d_low,0.0,0.0,False,False,False,False,False,False,pass,
distance_to_60d_low,0.0,0.0,False,False,False,False,False,False,pass,
max_drawdown_20d,0.0,0.0,False,False,False,False,False,False,pass,
max_drawdown_60d,0.0,0.0,False,False,False,False,False,False,pass,
ma_5_20_spread,0.0,0.0,False,False,False,False,False,False,pass,
ma_20_60_spread,0.0,0.0,False,False,False,False,False,False,pass,
turnover_rate_20d_mean,0.0,0.0,False,False,False,False,False,False,pass,
turnover_rate_60d_mean,0.0,0.0,False,False,False,False,False,False,pass,
turnover_rate_20d_zscore,0.0,0.0,False,False,False,False,False,False,pass,
volume_20d_zscore,0.0,0.0,False,False,False,False,False,False,pass,
money_20d_zscore,0.0,0.0,False,False,False,False,False,False,pass,
intraday_range_20d_mean,0.0,0.0,False,False,False,False,False,False,pass,
log_total_market_cap_cny,0.0,0.0,False,False,False,False,False,False,pass,
board_rank_pct,0.0,0.0,False,False,False,False,False,False,pass,
history_observed_sessions_before_usable_date,0.0,0.0,False,False,False,False,False,False,pass,
history_ready_240d_flag,0.0,0.0,False,False,False,False,False,False,pass,
board_bucket_chinext,0.0,0.0,False,False,False,False,False,False,pass,
board_bucket_main_board,0.0,0.0,False,False,False,False,False,False,pass,
board_bucket_unknown_train_unseen,0.0,0.0,False,False,False,False,False,False,pass,
