feature_name,feature_family,source_artifact,max_source_pos_minus_step_start_pos,max_source_date_minus_step_start_date,lineage_status,blocking_reason
ret_5d,qfq_rolling_market_state,qfq_daily,0.0,0.0,pass,
ret_10d,qfq_rolling_market_state,qfq_daily,0.0,0.0,pass,
ret_20d,qfq_rolling_market_state,qfq_daily,0.0,0.0,pass,
ret_60d,qfq_rolling_market_state,qfq_daily,0.0,0.0,pass,
volatility_20d,qfq_rolling_market_state,qfq_daily,0.0,0.0,pass,
volatility_60d,qfq_rolling_market_state,qfq_daily,0.0,0.0,pass,
distance_to_20d_high,qfq_rolling_market_state,qfq_daily,0.0,0.0,pass,
distance_to_60d_high,qfq_rolling_market_state,qfq_daily,0.0,0.0,pass,
distance_to_20d_low,qfq_rolling_market_state,qfq_daily,0.0,0.0,pass,
distance_to_60d_low,qfq_rolling_market_state,qfq_daily,0.0,0.0,pass,
max_drawdown_20d,qfq_rolling_market_state,qfq_daily,0.0,0.0,pass,
max_drawdown_60d,qfq_rolling_market_state,qfq_daily,0.0,0.0,pass,
ma_5_20_spread,qfq_rolling_market_state,qfq_daily,0.0,0.0,pass,
ma_20_60_spread,qfq_rolling_market_state,qfq_daily,0.0,0.0,pass,
turnover_rate_20d_mean,qfq_rolling_market_state,qfq_daily,0.0,0.0,pass,
turnover_rate_60d_mean,qfq_rolling_market_state,qfq_daily,0.0,0.0,pass,
turnover_rate_20d_zscore,qfq_rolling_market_state,qfq_daily,0.0,0.0,pass,
volume_20d_zscore,qfq_rolling_market_state,qfq_daily,0.0,0.0,pass,
money_20d_zscore,qfq_rolling_market_state,qfq_daily,0.0,0.0,pass,
intraday_range_20d_mean,qfq_rolling_market_state,qfq_daily,0.0,0.0,pass,
log_total_market_cap_cny,pit_membership_context,pit_universe,,0.0,pass,
board_rank_pct,pit_membership_context,pit_universe,,0.0,pass,
history_observed_sessions_before_usable_date,pit_membership_context,pit_universe,,0.0,pass,
history_ready_240d_flag,pit_membership_context,pit_universe,,0.0,pass,
board_bucket_chinext,pit_membership_context,pit_universe,,0.0,pass,
board_bucket_main_board,pit_membership_context,pit_universe,,0.0,pass,
board_bucket_unknown_train_unseen,pit_membership_context,pit_universe,,0.0,pass,
