split_bucket,model_id,binary_step_n,positive_n,negative_n,episode_cluster_n,roc_auc,average_precision,binary_positive_rate,pr_auc_lift_vs_binary_base,rank_ic_spearman,cluster_bootstrap_auc_ci_low,cluster_bootstrap_auc_ci_high,oos_status
train,intercept_only_baseline,14962,10078,4884,652,0.5,0.673573051731052,0.673573051731052,0.0,,,,train_in_sample
robustness,intercept_only_baseline,1872,1346,526,204,0.5,0.719017094017094,0.719017094017094,0.0,,,,pass
validation,intercept_only_baseline,505,325,180,40,0.5,0.6435643564356436,0.6435643564356436,0.0,,,,pass
train,ridge_logistic_bar_state_v1,14962,10078,4884,652,0.6802636405732257,0.8006621307192827,0.673573051731052,0.12708907898823074,0.29280879408795735,,,train_in_sample
robustness,ridge_logistic_bar_state_v1,1872,1346,526,204,0.6722198995474551,0.8181998121824747,0.719017094017094,0.09918271816538071,0.2681535644249009,0.647003821750172,0.7001600238376922,pass
validation,ridge_logistic_bar_state_v1,505,325,180,40,0.6106324786324786,0.7122125403006181,0.6435643564356436,0.06864818386497451,0.1835526555072175,,,pass
train,single_depth2_tree_bar_state_v1,14962,10078,4884,652,0.6473080508479397,0.7556440980264103,0.673573051731052,0.08207104629535833,0.25591754523651494,,,train_in_sample
robustness,single_depth2_tree_bar_state_v1,1872,1346,526,204,0.6342959564743303,0.7812802351303973,0.719017094017094,0.06226314111330333,0.22809897737087204,,,pass
validation,single_depth2_tree_bar_state_v1,505,325,180,40,0.5853333333333333,0.6855831277144481,0.6435643564356436,0.04201877127880449,0.15141340011351345,,,pass
