split_bucket,labelable_step_n,binary_step_n,positive_n,negative_n,neutral_n,neutral_rate,neutral_usage
train,20245,14962,10078,4884,5283,0.2609533218078538,excluded_from_primary_binary_target_retained_in_denominator_audit
robustness,2496,1872,1346,526,624,0.25,excluded_from_primary_binary_target_retained_in_denominator_audit
validation,664,505,325,180,159,0.2394578313253012,excluded_from_primary_binary_target_retained_in_denominator_audit
