artifact,path,exists,outcome_read
requirement,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/requirement_20b_trendpv_residual_momentum_design_and_replication_diagnostic.md,True,False
research_plan,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/research_plan.md,True,False
upstream_root,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20A_paper_lineage_data_and_replication_contract,True,False
project_universe,topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_executable_daily.csv,True,False
qfq_root,topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,True,False
benchmark,topics/02_AFML_BIG_WINNER/data/processed/index/benchmark_indices_daily.csv,True,False
trading_calendar,topics/02_AFML_BIG_WINNER/data/raw/akshare/status/trading_calendar.csv,True,False
security_master,topics/02_AFML_BIG_WINNER/data/raw/akshare/status/instrument_metadata_target_universe.csv,True,False
board_member,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/dc_member_2025_20250102.csv,True,False
