gate_order,gate_id,gate_class,evidence_artifact_path,evidence_field,expected_value,observed_value,status,blocking,reason
0,execution_authorization_gate,causal,preflight/resolved_config.yaml,execution_authorization_gate,pass,pass,pass,true,
1,scope_restart_gate,causal,preflight/resolved_config.yaml,scope_restart_gate,pass,pass,pass,true,
2,scope_override_gate,causal,preflight/resolved_config.yaml,scope_override_gate,pass,pass,pass,true,
3,upstream_21b_success_gate,causal,preflight/resolved_config.yaml,upstream_21b_success_gate,pass,pass,pass,true,
4,upstream_21b_contract_erratum_gate,causal,preflight/resolved_config.yaml,upstream_21b_contract_erratum_gate,pass,pass,pass,true,
5,upstream_paper_lineage_erratum_gate,causal,preflight/resolved_config.yaml,upstream_paper_lineage_erratum_gate,pass,pass,pass,true,
6,upstream_hash_and_file_set_gate,causal,preflight/resolved_config.yaml,upstream_hash_and_file_set_gate,pass,pass,pass,true,
7,dependency_runtime_gate,causal,preflight/resolved_config.yaml,dependency_runtime_gate,pass,pass,pass,true,
8,input_panel_integrity_gate,causal,preflight/resolved_config.yaml,input_panel_integrity_gate,pass,pass,pass,true,
9,train_validation_firewall_gate,causal,preflight/resolved_config.yaml,train_validation_firewall_gate,pass,pass,pass,true,
10,historical_holdout_zero_access_gate,causal,preflight/resolved_config.yaml,historical_holdout_zero_access_gate,pass,pass,pass,true,
11,teacher_materialization_gate,causal,materialized/materialization_failure_evidence.csv,teacher_materialization_gate,pass,not_evaluable,not_evaluable,true,missing_train_teacher_t_plus_1_key_n=396
12,architecture_shape_gate,causal,preflight/resolved_config.yaml,architecture_shape_gate,pass,not_run,not_run,true,not_run_due_to_prior_gate:teacher_materialization_gate
13,teacher_isolation_gate,causal,preflight/resolved_config.yaml,teacher_isolation_gate,pass,not_run,not_run,true,not_run_due_to_prior_gate:teacher_materialization_gate
14,loss_and_score_index_gate,causal,preflight/resolved_config.yaml,loss_and_score_index_gate,pass,not_run,not_run,true,not_run_due_to_prior_gate:teacher_materialization_gate
15,seed_determinism_gate,causal,preflight/resolved_config.yaml,seed_determinism_gate,pass,not_run,not_run,true,not_run_due_to_prior_gate:teacher_materialization_gate
16,gpu_memory_gate,causal,preflight/resolved_config.yaml,gpu_memory_gate,pass,not_run,not_run,true,not_run_due_to_prior_gate:teacher_materialization_gate
17,training_completion_gate,causal,preflight/resolved_config.yaml,training_completion_gate,pass,not_run,not_run,true,not_run_due_to_prior_gate:teacher_materialization_gate
18,pre_gate_bundle_hash_gate,causal,preflight/resolved_config.yaml,pre_gate_bundle_hash_gate,pass,not_run,not_run,true,not_run_due_to_prior_gate:teacher_materialization_gate
19,late_readout_process_gate,causal,preflight/resolved_config.yaml,late_readout_process_gate,pass,not_run,not_run,true,not_run_due_to_prior_gate:teacher_materialization_gate
20,checkpoint_eligibility_gate,causal,preflight/resolved_config.yaml,checkpoint_eligibility_gate,pass,not_run,not_run,true,not_run_due_to_prior_gate:teacher_materialization_gate
21,score_coverage_gate,causal,preflight/resolved_config.yaml,score_coverage_gate,pass,not_run,not_run,true,not_run_due_to_prior_gate:teacher_materialization_gate
22,rankic_implementation_gate,causal,preflight/resolved_config.yaml,rankic_implementation_gate,pass,not_run,not_run,true,not_run_due_to_prior_gate:teacher_materialization_gate
23,finalize_transaction_gate,causal,preflight/resolved_config.yaml,finalize_transaction_gate,pass,not_run,not_run,true,not_run_due_to_prior_gate:teacher_materialization_gate
24,r2_direction_stability_gate,causal,preflight/resolved_config.yaml,r2_direction_stability_gate,pass,not_run,not_run,true,not_run_due_to_prior_gate:teacher_materialization_gate
25,output_manifest_hash_gate,meta,,,not_run,not_run,not_run,true,blocked_profile
26,failure_bundle_integrity_gate,meta,manifest_21c_full_reaka_pit_proxy_replication.json,files,pass,pass,pass,true,
