split_bucket,decile_index,row_n,mean_payoff_raw,mean_probe_score,payoff_decile_monotonicity_spearman,payoff_monotone_flag
train,1,1497,-0.01378527544618873,-0.008664876130055833,0.9393939393939393,True
train,2,1496,0.01587866819703206,0.018661206616546487,0.9393939393939393,True
train,3,1496,0.028199682002633376,0.02801402841754035,0.9393939393939393,True
train,4,1496,0.03691798203721337,0.034442269079148616,0.9393939393939393,True
train,5,1496,0.048112853381192984,0.040159426203482375,0.9393939393939393,True
train,6,1496,0.06039411840591182,0.04557077014469812,0.9393939393939393,True
train,7,1496,0.04366658710602599,0.05101094272020655,0.9393939393939393,True
train,8,1496,0.05454146257378582,0.05700978896574513,0.9393939393939393,True
train,9,1496,0.062870117683268,0.06551805696884849,0.9393939393939393,True
train,10,1497,0.08085345301060676,0.08592122568992318,0.9393939393939393,True
robustness,1,188,0.03738133279252878,-0.00974796554688513,0.16363636363636364,False
robustness,2,187,0.03675855780714159,0.03307828086822767,0.16363636363636364,False
robustness,3,187,0.06686142300235912,0.05143761331456742,0.16363636363636364,False
robustness,4,187,0.07243156624877603,0.061707486617674584,0.16363636363636364,False
robustness,5,187,0.0930696154010434,0.06804723673717983,0.16363636363636364,False
robustness,6,187,0.0599173340889766,0.07333999242853692,0.16363636363636364,False
robustness,7,187,0.06137678117860046,0.07791900009264352,0.16363636363636364,False
robustness,8,187,0.048590549312911395,0.08251300944655461,0.16363636363636364,False
robustness,9,187,0.05848728261046803,0.08901291927624157,0.16363636363636364,False
robustness,10,188,0.06261280643722794,0.10634070141543778,0.16363636363636364,False
validation,1,51,0.02667226471718327,-0.0215709152153677,0.3696969696969697,False
validation,2,50,0.050778798515030976,0.013794956048055198,0.3696969696969697,False
validation,3,51,0.009320421292863553,0.029576382226642262,0.3696969696969697,False
validation,4,50,0.06659198535265656,0.04391475352143279,0.3696969696969697,False
validation,5,51,0.06877044558061073,0.056356498097088675,0.3696969696969697,False
validation,6,50,0.05652161382081679,0.06520059854362771,0.3696969696969697,False
validation,7,50,0.07679126456396439,0.07368774360704418,0.3696969696969697,False
validation,8,51,0.03766535697609363,0.0801601747290534,0.3696969696969697,False
validation,9,50,0.013208609154963517,0.08811768808683641,0.3696969696969697,False
validation,10,51,0.08022899206237209,0.10356314931383667,0.3696969696969697,False
