artifact_key,resolved_path,row_count,sha256,schema_status,read_status,required_flag,lineage_role,blocking_reason
requirement,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/requirement_16x_payoff_aligned_continuation_label_power_precheck.md,1027,5a6b4fe495901396eda61bc887857eb76b219cc52b8bc5a10a09f6fc52285c04,pass,pass,required,requirement,
source_plan,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/research_plan.md,422,2c6fd7dd530add1103ea4874698ae854afcf2764ade3f03b0b9fdf8ab8e1d6af,pass,pass,required,source_plan,
upstream_16e_postmortem_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_postmortem_continuation_utility_failure_decomposition/continuation_utility_failure_postmortem_decision.csv,1,cd5e5f383df634ad3f3f8424eb296ea86edd1c7d8e28219de6fd07c236513c97,pass,pass,required,upstream_16e_postmortem_decision,
upstream_16e_postmortem_score_bucket_monotonicity_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_postmortem_continuation_utility_failure_decomposition/score_bucket_monotonicity_readout.csv,30,ccfde89e6053e2be5530422db123ec887922238adaf25444b5b56cd8058d8e0a,pass,pass,required,upstream_16e_postmortem_score_bucket_monotonicity_readout,
upstream_16e_postmortem_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16E_postmortem_continuation_utility_failure_decomposition_manifest.json,100,d975033b9d21b9bab0b7d8e65eafcb643f7ab8b2b33e46aec44075d4c01c6026,pass,pass,required,upstream_16e_postmortem_manifest,
upstream_16c_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16C_sequential_continuation_separability_diagnostic/sequential_continuation_separability_decision.csv,1,a871434a263d5d0312ca96d48a88fbaeba2256197ac411f5648f07b1a13a94d5,pass,pass,required,upstream_16c_decision,
upstream_16c_oos_separability_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16C_sequential_continuation_separability_diagnostic/oos_separability_readout.csv,9,7aab3c299a0996759710d646090883e85d02154aa4262a7666c479880c17b744,pass,pass,required,upstream_16c_oos_separability_readout,
upstream_16c_t0_feature_contract,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16C_sequential_continuation_separability_diagnostic/t0_feature_contract.csv,50,f3b81836448289206909a85d64131d5f61dc54540e1a0294cb81d312d6ac080c,pass,pass,required,upstream_16c_t0_feature_contract,
upstream_16c_t0_feature_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16C_sequential_continuation_separability_diagnostic/t0_feature_panel.parquet,23405,c7ee66c65fe8795125e45290d0cd0a2f1bdd8ba64469e50c6e6d2a49f86bdeed,pass,pass,required,upstream_16c_t0_feature_panel,
upstream_16c_separability_score_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16C_sequential_continuation_separability_diagnostic/separability_score_panel.parquet,52017,21ffbb494cf70f1df8eefad0fc4925891c8890b27dd2cf4927fe60b4c3ae7100,pass,pass,required,upstream_16c_separability_score_panel,
upstream_16c_fold_assignment_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16C_sequential_continuation_separability_diagnostic/fold_assignment_panel.parquet,14962,49ca5e20e7bedf491eb6bf830794614fee56e205fde17cf206893bb818911ed2,pass,pass,required,upstream_16c_fold_assignment_panel,
upstream_16b_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/sequential_continuation_label_decision.csv,1,1b3f820fe4aeb4c4da7aa0b68e6d3ec2abe6f35b216f26a657ba9131c486e3ef,pass,pass,required,upstream_16b_decision,
upstream_16b_base_rate_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/continuation_label_base_rate_readout.csv,135,50c7afd6007d62e462fb023f89ae21dee3d07911aed9201e5ec2d5ebee6ac947,pass,pass,required,upstream_16b_base_rate_readout,
