probe_id,target_id,family,regularization,feature_contract_source,feature_contract_n,primary_probe_universe,train_primary_probe_step_n,preprocessing_train_only,cv_scheme,fold_source,fold_assignment_join_gate,probe_spec_frozen,robustness_used_for_probe_tuning,validation_used_for_probe_tuning,blocking_reason
survival_logistic_probe_v1,continuation_survival_h20_no_deep_drawdown,ridge_logistic,C=1.0,16C_t0_feature_contract.csv:allowed_primary_model_feature_true,27,binary_positive_negative_rows_only,14962,True,episode_cluster_grouped_cv_over_16c_train_binary_fold_assignment,16C_fold_assignment_panel,pass,True,False,False,
payoff_rank_probe_v1,realized_h20_payoff_severity_v1,ridge_regression,alpha=1.0,16C_t0_feature_contract.csv:allowed_primary_model_feature_true,27,binary_positive_negative_rows_only,14962,True,episode_cluster_grouped_cv_over_16c_train_binary_fold_assignment,16C_fold_assignment_panel,pass,True,False,False,
