split_bucket,probe_id,target_id,primary_probe_step_n,episode_cluster_n,rank_ic_spearman,cv_rank_ic_median,rank_ic_status
train,survival_logistic_probe_v1,continuation_survival_h20_no_deep_drawdown,14962,652,0.15713826663519065,0.15438217059459292,train_in_sample
robustness,survival_logistic_probe_v1,continuation_survival_h20_no_deep_drawdown,1872,204,0.05260008156581152,0.15438217059459292,pass
validation,survival_logistic_probe_v1,continuation_survival_h20_no_deep_drawdown,505,40,0.08467867564790725,0.15438217059459292,pass
train,payoff_rank_probe_v1,realized_h20_payoff_severity_v1,14962,652,0.18670073387102776,0.17620030131050116,train_in_sample
robustness,payoff_rank_probe_v1,realized_h20_payoff_severity_v1,1872,204,0.05187674283077765,0.17620030131050116,pass
validation,payoff_rank_probe_v1,realized_h20_payoff_severity_v1,505,40,0.07587060478435628,0.17620030131050116,pass
